Business Name,Contact Person,Email,Phone,Website,Years of Experience,Service Areas,Loan Types,Interest Rate Min (%),Interest Rate Max (%),Processing Fee,RBI Registration
Bank of Maharashtra,Nidhu Saxena / General Manager (Retail Credit),customercare@mahabank.co.in,1800 233 4526 / 1800 102 2636,https://www.bankofmaharashtra.in,91 Years (Est. 1935),Pan-India (2400+ Branches),Maha Super Housing Loan; Maha Combo Home Loan; Maha Top-Up Loan; Green Housing Loan,8.35,10.35,Nil (Special Concession) to 0.25% + GST,RBI Registered Scheduled Public Sector Bank
Punjab & Sind Bank,Swarup Kumar Saha / General Manager (Retail Assets),customercare@psb.co.in,1800 419 8300,https://www.punjabandsindbank.co.in,118 Years (Est. 1908),Pan-India (1500+ Branches),PSB Apna Ghar; PSB Apna Ghar Top-Up; PSB Ghar Sajawat; PSB Smart Home Loan,8.5,10.75,0.25% of loan amount (Max Rs. 10000) + GST,RBI Registered Scheduled Public Sector Bank
HDFC Bank,Sashidhar Jagdishan / Group Head - Mortgage Banking,support@hdfcbank.com,1800 202 6161 / 1800 258 3838,https://www.hdfcbank.com,49 Years (HDFC Ltd Est. 1977),Pan-India (8800+ Branches),Standard Home Loan; Plot Loan; Rural Housing Finance; Home Extension; NRI Home Loan; Balance Transfer,8.7,9.95,Up to 0.50% of loan amount (Min Rs. 3000) + GST,RBI Registered Scheduled Private Sector Bank
ICICI Bank,Sandeep Bakhshi / Head - Mortgages & Secured Lending,customer.care@icicibank.com,1800 1080 / 1800 103 8181,https://www.icicibank.com,32 Years (Est. 1994),Pan-India (6500+ Branches),Instant Home Loan; Extra Home Loans; Step-Up Home Loans; Pragati Home Loans; Land Loan,8.75,10.05,0.50% - 1.00% of loan amount (Min Rs. 3000) + GST,RBI Registered Scheduled Private Sector Bank
Axis Bank,Amitabh Chaudhry / Head - Retail Lending & Mortgages,customer.service@axisbank.com,1860 419 5555 / 1860 500 5555,https://www.axisbank.com,33 Years (Est. 1993),Pan-India (5400+ Branches),Axis QuickPay Home Loan; Shubh Aarambh; Fast Forward Home Loan; Asha Home Loan; Super Saver,8.75,10.25,Up to 1% of loan amount (Min Rs. 10000) + GST,RBI Registered Scheduled Private Sector Bank
Kotak Mahindra Bank,Ashok Vaswani / President - Consumer Assets,service.bank@kotak.com,1860 266 2666,https://www.kotak.com,41 Years (Est. 1985),Pan-India (1900+ Branches),Kotak Digi Home Loan; Home Improvement; NRI Home Loan; Balance Transfer; Home Loan Overdraft,8.7,9.8,0.50% of loan amount (Min Rs. 5000) + GST,RBI Registered Scheduled Private Sector Bank
IndusInd Bank,Sumant Kathpalia / Head - Consumer Banking & Mortgages,reachus@indusind.com,1860 267 7777 / 1800 209 0061,https://www.indusind.com,32 Years (Est. 1994),Pan-India (2900+ Branches),Affordable Home Loan; Premium Home Loan; Home Renovation; Plot Purchase + Construction Loan,8.75,10.5,Up to 1.00% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
IDFC FIRST Bank,V. Vaidyanathan / Head - Retail Assets & Mortgages,banker@idfcfirstbank.com,1800 10 888,https://www.idfcfirstbank.com,11 Years (Est. 2015),Pan-India (900+ Branches),Regular Home Loan; Fast Track Home Loan; NRI Home Loan; Balance Transfer & Top-Up; Micro-housing,8.85,10.5,Up to 0.50% - 1.00% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
Federal Bank,K. V. S. Manian / Head - Retail Lending Division,contact@federalbank.co.in,1800 425 1199 / 1800 420 1199,https://www.federalbank.co.in,95 Years (Est. 1931),Pan-India (1400+ Branches; strong South presence),Fed-Housing Loan; Fed-Green Home Loan; Plot Purchase Loan; NRI Home Loan; Home Shield,8.8,10.15,0.50% of loan amount (Min Rs. 3000; Max Rs. 10000) + GST,RBI Registered Scheduled Private Sector Bank
IDBI Bank,Rakesh Sharma / Chief General Manager (Retail Assets),customercare@idbi.co.in,1800 209 4324 / 1800 22 1070,https://www.idbibank.in,62 Years (Est. 1964),Pan-India (1900+ Branches),IDBI Home Loan; Home Loan Interest Saver; NRI Home Loan; Top-up Loan; Balance Transfer,8.45,10.45,0.50% of loan amount (Min Rs. 2500; Max Rs. 10000) + GST,RBI Registered Scheduled Commercial Bank
Yes Bank,Prashant Kumar / Global Head - Retail Assets,yestouch@yesbank.in,1800 1200,https://www.yesbank.in,22 Years (Est. 2004),Pan-India (1200+ Branches),YES Khushi Affordable Home Loan; Premium Home Loan; Home Extension; Balance Transfer,8.95,10.75,Up to 0.75% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
Bandhan Bank,Chandra Shekhar Ghosh / Head of Housing Finance,customercare@bandhanbank.com,1800 258 8181,https://www.bandhanbank.com,11 Years (Est. 2015),Pan-India (6200+ Banking Units),Suraksha Home Loan; Su-Awas Affordable Housing; Sajawat Home Renovation; Balance Transfer,8.65,13.5,Up to 1.00% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
RBL Bank,R. Subramaniakumar / Head - Retail Loans & Mortgages,customercare@rblbank.com,022 6115 6300,https://www.rblbank.com,83 Years (Est. 1943),Pan-India (500+ Branches),Home Loan for Salaried/Self-Employed; Loan Against Property; Balance Transfer & Top-Up,8.9,11.2,Up to 1.00% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
South Indian Bank,P. R. Seshadri / General Manager (Retail Credit),customercare@sib.co.in,1800 425 1809 / 1800 102 9408,https://www.southindianbank.com,97 Years (Est. 1929),Pan-India (940+ Branches; South focus),SIB Home Loan; SIB Green Home; SIB Land Loan; SIB NRI Home; SIB Gruhashobha,8.7,10.9,0.50% of loan amount (Max Rs. 10000) + GST,RBI Registered Scheduled Private Sector Bank
Karur Vysya Bank (KVB),B. Ramesh Babu / Head - Retail Lending Operations,customersupport@kvbmail.com,1860 258 1916,https://www.kvb.co.in,110 Years (Est. 1916),Pan-India (800+ Branches; South focus),KVB Gruhapravesha; Green Housing Loan; NRI Home Loan; Home Top-Up; Plot Loan,8.75,10.65,0.50% of loan amount (Max Rs. 15000) + GST,RBI Registered Scheduled Private Sector Bank
City Union Bank (CUB),N. Kamakodi / General Manager (Credit Division),customercare@cityunionbank.com,044 7122 5000,https://www.cityunionbank.com,122 Years (Est. 1904),Pan-India (750+ Branches),CUB Housing Loan; CUB Site & Building Loan; CUB Home Extension; CUB NRI Home Loan,8.75,11,0.50% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
Karnataka Bank,Srikrishnan H. / General Manager (Retail Credit),info@ktkbank.com,1800 425 1444,https://www.karnatakabank.com,102 Years (Est. 1924),Pan-India (900+ Branches),KBL Ghar Shobha; KBL Apna Ghar; KBL Mortgage; Balance Transfer & Top-Up,8.6,10.5,0.40% of loan amount (Max Rs. 10000) + GST,RBI Registered Scheduled Private Sector Bank
Jammu & Kashmir Bank (J&K Bank),Baldev Prakash / General Manager (Credit / Housing),support@jkbmail.com,1800 890 2122,https://www.jkbank.com,88 Years (Est. 1938),J&K; Ladakh & Major Metros across India (1000+ Branches),JK Housing Finance Scheme; JK Commercial Housing; Saholiat Home Loan; Renovation Loan,8.55,10.45,0.25% - 0.50% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
Tamilnad Mercantile Bank (TMB),S. Krishnan / Head - Retail Assets,customersupport@tmbank.in,1800 425 0426,https://www.tmb.in,105 Years (Est. 1921),Pan-India (550+ Branches),TMB Home Loan; TMB Plot Loan; TMB Home Renovation; TMB NRI Housing Loan,8.75,10.85,0.50% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
CSB Bank (Catholic Syrian Bank),Pralay Mondal / Head - Retail Lending & Mortgages,customercare@csb.co.in,1800 266 9090,https://www.csb.co.in,106 Years (Est. 1920),Pan-India (700+ Branches),CSB Grihashobha; CSB Land & Construction Loan; CSB Balance Transfer,8.85,11.5,0.50% - 1.00% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
Dhanlaxmi Bank,J. K. Shivan / Chief General Manager (Retail),customercare@dhanbank.co.in,0487 6617000,https://www.dhanbank.com,99 Years (Est. 1927),Pan-India (260+ Branches),Dhanlaxmi Home Loan; Dhanam Home Improvement; NRI Home Loan,8.9,11.25,0.50% of loan amount + GST,RBI Registered Scheduled Private Sector Bank
LIC Housing Finance Ltd (LICHFL),Tribhuwan Adhikari / Managing Director & CEO,lichousing@lichousing.com,1800 212 8800 / 022 2217 8600,https://www.lichousing.com,37 Years (Est. 1989),Pan-India (300+ Marketing Offices; 12000+ Intermediaries),Griha Suvidha; Griha Varishtha; Griha Shobha; Plot & Construction; NRI Home Loans; Balance Transfer,8.5,10.35,0.25% - 0.50% (Min Rs. 3000; Max Rs. 15000) + GST,RBI / NHB Registered Housing Finance Company (HFC)
Bajaj Housing Finance Ltd (BHFL),Atul Jain / Managing Director & Nodal Officer,bhflwecare@bajajfinserv.in,022 4180 3900,https://www.bajajhousingfinance.in,18 Years (Est. 2008),Pan-India (Major Tier 1; 2; 3 Cities),Home Loan for Salaried/Professionals; Balance Transfer with Top-Up; Customized Construction Loans,8.5,10.5,Up to 0.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
PNB Housing Finance Ltd,Girish Kousgi / Managing Director & CEO,loans@pnbhousing.com,1800 120 8800,https://www.pnbhousing.com,38 Years (Est. 1988),Pan-India (200+ Branches),Home Purchase Loan; Roshni Affordable Housing; Unnati Home Loan; Plot Loan; Construction Loan,8.55,11.45,0.50% of loan amount (Min Rs. 10000) + GST,RBI / NHB Registered Housing Finance Company (HFC)
Tata Capital Housing Finance Ltd,Anil Kaul / Managing Director,contactus@tatacapital.com,1860 267 6060,https://www.tatacapital.com,18 Years (Est. 2008),Pan-India (250+ Branches),Home Loan; Home Extension; Affordable Housing (Prapti); NRI Home Loan; Rural Housing,8.7,10.9,0.50% of loan amount (Min Rs. 3000) + GST,RBI / NHB Registered Housing Finance Company (HFC)
Can Fin Homes Ltd,Suresh S. Iyer / Managing Director & CEO,development@canfinhomes.com,080 2656 4259,https://www.canfinhomes.com,39 Years (Est. 1987),Pan-India (210+ Branches; 15 States/UTs),Individual Housing Loan; Composite Loan; Site Loan; Commercial Housing; Affordable Housing,8.85,10.75,0.50% - 0.75% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Aditya Birla Housing Finance Ltd (ABHFL),Pankaj Gadgil / Managing Director & CEO,care.housingfinance@adityabirlacapital.com,1800 270 7000,https://homefinance.adityabirlacapital.com,12 Years (Est. 2014),Pan-India (130+ Branches),Express Home Loan; Affordable Home Loan; Home Extension; Construction Finance,8.6,10.75,0.50% - 1.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Piramal Capital & Housing Finance Ltd (PCHFL),Jairam Sridharan / Managing Director,customercare@piramal.com,1800 266 6444,https://www.piramalfinance.com,9 Years (Piramal) / Combined 40+ Yrs,Pan-India (450+ Branches in Tier 2/3/4 markets),Grih Setu Home Loan; Super Griha Loan; Home Construction; Renovation; Balance Transfer,8.75,12.5,0.50% - 1.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
GIC Housing Finance Ltd,Paul Antony / Managing Director & CEO,service@gichf.com,022 2288 4166 / 1800 22 4424,https://www.gichfindia.com,37 Years (Est. 1989),Pan-India (75+ Branches),Apna Ghar Yojana; Composite Home Loan; Balance Transfer; Home Extension Loan,8.8,10.8,0.50% of loan amount (Min Rs. 3000) + GST,RBI / NHB Registered Housing Finance Company (HFC)
Godrej Housing Finance Ltd,Manish Shah / Managing Director & CEO,customercare@godrejhousingfinance.com,022 6881 8600,https://www.godrejhousingfinance.com,6 Years (Est. 2020),Major Metros: Mumbai; Delhi-NCR; Bengaluru; Pune; Ahmedabad; Hyderabad,Design Your EMI Home Loan; Straightforward Home Loan; Balance Transfer with Top-Up,8.55,9.9,0.25% - 0.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
L&T Finance Ltd (L&T Housing Finance),Sudipta Roy / Managing Director & CEO,customercare@ltfs.com,1800 209 4747,https://www.ltfs.com,32 Years (Est. 1994),Pan-India (200+ Cities),Complete Home Loan; Home Renovation; Balance Transfer; Top-Up; Affordable Housing,8.65,11.2,Up to 0.50% - 1.00% + GST,RBI Registered NBFC-ICC / HFC
Sundaram Home Finance Ltd,Lakshminarayanan Duraiswamy / Managing Director,customercare@sundaramhome.in,1800 419 7722,https://www.sundaramhome.in,27 Years (Est. 1999),South India (Tamil Nadu; AP; Telangana; Karnataka; Kerala) & Central India (120+ Branches),Home Purchase; Construction Loan; Plot Loan; Home Improvement; NRI Housing Finance,8.95,11.5,0.50% - 1.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Repco Home Finance Ltd,K. Swaminathan / Managing Director & CEO,cs@repcohome.com,1800 425 6070,https://www.repcohome.com,26 Years (Est. 2000),South & Western India (160+ Branches; 35+ Satellite Centers),Repco Rural Housing; Dream Home Loan; Super Loan; Plot & Construction; NRI Housing,9.15,12.75,0.50% - 1.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Aadhar Housing Finance Ltd,Rishi Anand / Managing Director & CEO,customercare@aadharhousing.com,1800 3004 2020,https://www.aadharhousing.com,16 Years (Est. 2010),Pan-India (480+ Branches across 20 States),Low Income & Affordable Housing; Plot & Construction; Home Improvement; Loan for Self-Employed,9.5,14.5,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Aavas Financiers Ltd,Sachinder Bhinder / Managing Director & CEO,customercare@aavas.in,0141 661 8888 / 1800 208 8820,https://www.aavas.in,15 Years (Est. 2011),Western; Northern & Central India (350+ Branches in Rajasthan; Gujarat; MP; Maharashtra; etc.),Semi-Urban & Rural Home Loan; Self-Employed Home Loan; Home Construction; Repair & Renovation,9.25,14,1.00% - 1.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Home First Finance Company India Ltd (HomeFirst),Manoj Viswanathan / Managing Director & CEO,contact@homefirstindia.com,1800 3000 8420,https://www.homefirstindia.com,16 Years (Est. 2010),Pan-India (130+ Branches in 13 States),Affordable Housing Loan; Construction Loan; Home Extension; Shop Loan; Balance Transfer,9.3,13.75,1.00% - 1.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Shubham Housing Development Finance Company,Sanjay Chaturvedi / CEO & Nodal Officer,customercare@shubham.co,1800 258 2225,https://www.shubham.co,16 Years (Est. 2010),North; Central & Western India (110+ Branches in 12 States),Informal Income Segment Home Loan; Home Construction; Extension; Renovation; Balance Transfer,9.75,15,1.50% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Vastu Housing Finance Corporation Ltd,Sandeep Menon / Founder; MD & CEO,customercare@vastuhfc.com,1800 22 0001,https://www.vastuhfc.com,11 Years (Est. 2015),Pan-India (180+ Branches across 15 States),Self-Constructed Housing; Affordable Home Purchase; Home Renovation; Small Business Composite Loan,9.5,14.5,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Centrum Housing Finance Ltd (CHFL),Sanjay Shukla / Managing Director & CEO,care@chfl.co.in,1800 103 7485,https://www.chfl.co.in,10 Years (Est. 2016),Central; Western & Northern India (80+ Branches),Affordable Housing Loan; Self-Employed Housing Finance; Plot Purchase + Construction Loan,9.5,14,1.00% - 1.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Motilal Oswal Home Finance Ltd (MOHFL),Sukesh Parameswaran / Managing Director & CEO,homeloancare@motilaloswal.com,022 6846 6200,https://www.motilaloswalhf.com,13 Years (Est. 2013),Western & Southern India (110+ Branches across 12 States),Affordable Home Loan; Construction Loan; Home Extension; Composite Plot Loan,9.4,14.25,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Sammaan Capital Ltd (formerly Indiabulls Housing Finance),Gagan Banga / Vice Chairman & Managing Director,homeloans@sammaancapital.com,1800 572 7777,https://www.sammaancapital.com,21 Years (Est. 2005),Pan-India (140+ Branches),Home Purchase Loan; NRI Housing Finance; Home Extension; Balance Transfer & Top-Up,8.75,11.5,0.50% - 1.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Capri Global Housing Finance Ltd,Rajesh Sharma / Managing Director,care@caprihomeloans.com,1800 102 1021,https://www.caprihomeloans.com,11 Years (Est. 2015),Northern & Western India (200+ Branches across 10 States),Affordable Home Loan; Self-Employed Housing Finance; Home Construction & Improvement,9.5,14.5,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Hero Housing Finance Ltd (HHFL),Dharmesh Verma / CEO & Principal Officer,customerfirst@herohf.com,1800 212 8800,https://www.herohousingfinance.com,10 Years (Est. 2016),Pan-India (Northern; Western & Southern hubs),Home Purchase Loan; Construction Loan; Home Extension; Composite Plot Loan; Balance Transfer,9.25,13.5,1.00% - 1.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
SRG Housing Finance Ltd,Vinod K. Jain / Managing Director,info@srghousing.com,0294 2412609,https://www.srghousing.com,27 Years (Est. 1999),Rajasthan; Gujarat; MP; Maharashtra (60+ Branches),SRG Dream Home Loan; SRG Home Construction; SRG Rural Housing; SRG Home Repair,9.8,15,1.50% - 2.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Star Housing Finance Ltd (Star HFL),Kalpesh Dave / CEO,info@starhfl.com,022 6754 6060,https://www.starhfl.com,21 Years (Est. 2005),Maharashtra; Gujarat; Rajasthan; MP; Tamil Nadu,Affordable Housing; Low-Ticket Home Purchase; Construction Finance; Balance Transfer,9.75,14.5,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
IIFL Home Finance Ltd,Monu Ratra / Executive Director & CEO,reach@iiflhomeloans.com,1860 267 3000,https://www.iiflhomeloans.com,20 Years (Est. 2006),Pan-India (350+ Branches),Swaraj Home Loan; Green Home Loan; Affordable Housing (PMAY); Plot + Construction,8.75,12.5,0.50% - 1.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Shriram Housing Finance Ltd,Ravi Subramanian / Managing Director & CEO,contact@shriramhousing.in,1800 102 4345,https://www.shriramhousing.in,16 Years (Est. 2010),Pan-India (150+ Branches; 1000+ Touchpoints),Grihashray Home Loan; Construction Loan; Home Extension; Balance Transfer & Top-up,9.25,14,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Edelweiss Housing Finance Ltd (EHFL),Rajat Verma / Head of Housing Finance,homeservice@edelweissfin.com,1800 102 6371,https://www.edelweisshousingfin.com,18 Years (Est. 2008),Pan-India (Major Metros & Tier 1/2 Cities),Quick Home Loan; Home Extension; NRI Housing Finance; Plot Purchase; Balance Transfer,9.1,12.75,0.75% - 1.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
SMFG India Home Finance (formerly Fullerton India Home Finance / Grihashakti),Deepak Patkar / MD & CEO,grihashakti@smfgindiafinance.com,1800 102 1003,https://www.smfgindiagrihashakti.com,16 Years (Est. 2010),Pan-India (130+ Branches across 16 States),Affordable Housing; Home Purchase; Home Construction; Home Renovation; Balance Transfer,9.25,14,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Mahindra Rural Housing Finance Ltd (MRHFL),Shantanu Rege / Managing Director & CEO,mrhflcustomercare@mahindra.com,1800 209 7777,https://www.mahindrahomefinance.com,19 Years (Est. 2007),Rural & Semi-Urban India (650+ Branches across 14 States),Rural Home Purchase; Kaccha to Pucca Conversion Loan; Home Renovation; Home Extension,9.75,15.5,1.50% - 2.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Cholamandalam Investment and Finance Company Ltd (Chola Home Loans),Ravindra Kundu / Executive Director,customercare@chola.murugappa.com,1800 102 4565,https://www.cholamandalam.com,48 Years (Est. 1978),Pan-India (1200+ Branches),Affordable Home Loan; Self-Construction Loan; Home Extension; Composite Housing Finance,9.25,14.25,1.00% - 2.00% of loan amount + GST,RBI Registered NBFC-ICC / Lending Institution
Muthoot Homefin (India) Ltd,Eapen Alexander / Executive Director & CEO,customercare@muthoot.com,1800 102 1616,https://www.muthoothomefin.com,15 Years (Est. 2011),Pan-India (110+ Branches across 16 States),Affordable Housing; Home Purchase; Home Improvement; Self-Construction Loan,9.5,14.5,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Manappuram Home Finance Ltd,V. P. Nandakumar / Managing Director & CEO,care@manappuramhomefin.com,1800 420 22 33,https://www.manappuramhomefin.com,16 Years (Est. 2010),South; West & Central India (75+ Branches),Suvidha Affordable Home Loan; Construction Loan; Home Extension; Balance Transfer,9.75,15,1.50% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
ICICI Home Finance Company Ltd (ICICI HFC),Anirudh Kamani / Managing Director & CEO,customer.care@icicihfc.com,1800 267 4455,https://www.icicihfc.com,27 Years (Est. 1999),Pan-India (200+ Branches),Apna Ghar Dreamz; Saral Home Loan; Step-Up Home Loan; Land Purchase + Construction,8.9,12.5,0.50% - 1.50% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Hinduja Housing Finance Ltd,Sachin Pillai / Managing Director & CEO,compliance@hindujahousingfinance.com,044 2230 4000,https://www.hindujahousingfinance.com,11 Years (Est. 2015),Pan-India (180+ Branches across 18 States),Affordable Housing Loan; Home Extension Loan; Home Improvement; Plot + Construction,9.5,14.5,1.00% - 2.00% of loan amount + GST,RBI / NHB Registered Housing Finance Company (HFC)
Poonawalla Fincorp Ltd (Housing Finance Division),Arvind Kapil / Managing Director & CEO,customercare@poonawallafincorp.com,1800 209 0144,https://www.poonawallafincorp.com,38 Years (Est. 1988),Pan-India (200+ Branches),Affordable Housing Finance; Prime Home Loans; Balance Transfer & Top-Up,8.9,12,0.50% - 1.00% of loan amount + GST,RBI Registered NBFC-ICC
AU Small Finance Bank,Sanjay Agarwal / Managing Director & CEO,customercare@aubank.in,1800 1200 1300,https://www.aubank.in,30 Years (Est. 1996 / SFB 2017),Pan-India (1000+ Touchpoints in 21 States),AU Home Loan; AU Ghar Vikas; Self-Employed Housing Finance; Balance Transfer,8.85,12.5,Up to 1.00% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
Equitas Small Finance Bank,P. N. Vasudevan / Managing Director & CEO,customerservice@equitasbank.com,1800 103 1222,https://www.equitasbank.com,10 Years (SFB 2016),Pan-India (900+ Branches),Affordable Home Loan; Self-Construction Loan; Home Renovation; Balance Transfer,8.95,13,Up to 1.50% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
Ujjivan Small Finance Bank,Ittira Davis / Managing Director & CEO,customercare@ujjivan.com,1800 208 2121,https://www.ujjivansfb.in,9 Years (SFB 2017),Pan-India (700+ Branches in 26 States/UTs),Apna Ghar Home Loan; Home Construction; Composite Loan; Home Improvement,9.25,13.5,1.00% - 1.50% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
Jana Small Finance Bank,Ajay Kanwal / Managing Director & CEO,customercare@janabank.com,1800 2080,https://www.janabank.com,8 Years (SFB 2018),Pan-India (750+ Branches in 22 States),Affordable Housing Finance; Home Construction; Home Renovation; Balance Transfer,9.5,14,1.00% - 1.50% of loan amount + GST,RBI Registered Scheduled Small Finance Bank
