Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Product Categories,Supported Brands
Europa Locks (Welmade Locking Systems Pvt. Ltd.),P. A. Joshi (Chairman & MD),customercare@europalocks.com,+91-20-27122345,https://www.europalocks.com,38+ Years (Est. 1986),Economy to Premium,"Prominent Indian lock and security hardware brand known for anti-theft deadbolts, rim locks, mortise handles, and automotive security hardware.",Pan India,"Rim Locks, Mortise Locks, Main Door Locksets, Padlocks, Furniture Locks, Shutter Locks","Europa, Europa Hexabolt"
Harrison Locks (Harrison Locks Pvt. Ltd.),Umang Monga (Director),info@harrisonlocks.com,+91-11-45607000,https://www.harrisonlocks.com,65+ Years (Est. 1958),Economy to Mid-Range,"Heritage security hardware and architectural fittings manufacturer offering brass padlocks, door handles, tower bolts, and telescopic channels.",Pan India & Global,"Door Handles, Brass Padlocks, Mortise Locks, Kitchen Baskets, Telescopic Slides, Glass Hinges","Harrison, Harrison Smart"
Link Locks (Link Locks Pvt. Ltd.),Zafar Alam (Managing Director),info@linklocks.com,+91-571-2401050,https://www.linklocks.com,50+ Years (Est. 1970),Economy to Mid-Range,"Major locking and architectural hardware producer based in Aligarh, supplying security hardware, builders hardware, and stainless steel fittings.","Pan India, Middle East, Africa","Brass Locks, Iron Padlocks, Mortise Handle Sets, Stainless Steel Hinges, Tower Bolts","Link, Link Elite"
Sugatsune Kogyo India Pvt. Ltd.,Ashish Patel (Country Manager),sales@sugatsune.in,+91-22-28314490,https://www.sugatsune.in,12+ Years in India (Global Est. 1930),Premium to Luxury,Japanese premium architectural and industrial hardware manufacturer renowned for patented Lapcon soft-closing damper mechanisms.,Pan India,"Soft Close Dampers, Concealed Hinges, Torque Hinges, Magnetic Catches, Architectural Handles, Sliding Door Hardware","Sugatsune, LAMP, Lapcon, Motion Design Tech"
Dormakaba India Pvt. Ltd.,Vivek Trivedi (Sales Director),info.india@dormakaba.com,+91-44-67400200,https://www.dormakaba.com/in-en,25+ Years in India (Global Est. 1862),Premium to Luxury,"Global access and architectural hardware conglomerate specializing in revolving doors, automatic sliding systems, panic exit devices, and glass fittings.",Pan India & SAARC,"Door Hardware, Automatic Doors, Glass Partition Systems, Electronic Access Systems, Movable Walls","Dormakaba, Dorma, Kaba"
Geze India Pvt. Ltd.,S. Senthil Nathan (Director - India),office.india@geze.com,+91-44-40616900,https://www.geze.in,18+ Years in India (Global Est. 1863),Premium to Luxury,"German specialist in door, window, and safety technology, automatic sliding doors, smoke evacuation systems, and architectural glass hardware.",Pan India,"Door Closers, Automatic Sliding Systems, Glass Patch Fittings, Window Actuators, Safety Barrier Systems","Geze, Geze Slimdrive, Boxer"
Enox Hardware (ASSA ABLOY Opening Solutions India),Raman Koul (Managing Director),enox.sales@assaabloy.com,+91-22-61901000,https://www.enoxhardware.com,20+ Years,Mid-Range to Premium,"Architectural hardware brand under ASSA ABLOY providing end-to-end solutions for glass systems, wooden doors, and interior partitions.",Pan India,"Glass Patch Hardware, Shower Hinges, Sliding Folding Hardware, Spider Fittings, Mortise Locks","Enox, ASSA ABLOY"
Yale India (ASSA ABLOY Group),Manish Shah (National Sales Head),sales.yale.india@assaabloy.com,+91-11-40407000,https://www.yalehome.com/in/en,25+ Years in India (Global Est. 1840),Mid-Range to Premium,"World-renowned security and architectural hardware brand offering smart locks, safe boxes, mechanical locks, and door accessories.",Pan India,"Smart Door Locks, Digital Safes, Door Closers, Brass Padlocks, Mortise Locksets, Rim Locks","Yale, Yale Access, Yale Linus"
Plantex (Empire Home Appliances),Haresh Patel (Founder & Managing Director),care@plantex.in,+91-2827-287333,https://www.plantex.in,15+ Years (Est. 2009),Economy to Mid-Range,Fast-growing architectural home & bathroom fittings manufacturer from Gujarat with an extensive online and offline distribution footprint.,Pan India,"Bathroom Hardware, Kitchen Organizers, Towel Racks, Glass Shelves, Stainless Steel Hardware Fittings","Plantex, Plantex Home"
IPSA Hardware Solutions,Amit Gupta (Director),customercare@ipsa.co.in,+91-11-41517788,https://www.ipsa.co.in,26+ Years (Est. 1998),Mid-Range to Premium,"Integrated architectural ironmongery manufacturer supplying high-specification door controls, mortise locks, handles, and glass fittings.",Pan India,"Architectural Door Handles, Mortise Locks, Euro Cylinders, Floor Springs, Panic Hardware","IPSA, IPSA Security"
Magnum Locks & Architectural Hardware,Parveen Aggarwal (Managing Director),info@magnumlocks.com,+91-11-23654400,https://www.magnumlocks.com,35+ Years (Est. 1988),Mid-Range,"Established manufacturer and exporter of brass, zinc, and aluminum architectural hardware, locks, and door accessories.","Pan India, North America, Europe","Solid Brass Door Handles, Pull Handles, Hinges, Cabinet Knobs, Mortise Locks, Window Stays","Magnum, Magnum Pro"
Olive Hardware (Olive Architectural Hardware),Nilesh Bhalodia (Director),sales@olivehardware.com,+91-2827-287990,https://www.olivehardware.com,18+ Years (Est. 2006),Mid-Range to Premium,"Rajkot-based manufacturer specialized in zinc alloy architectural handles, cabinet profiles, main door pull handles, and hardware accessories.","Pan India, Middle East","Zinc Mortise Handles, Main Door Pull Handles, Cabinet Handles, Glass Connectors, Concealed Hinges","Olive, Olive Architectural"
Pag Architectural Hardware (Pag India),Ghanshyam Patel (Partner),info@paghardware.com,+91-2827-287112,https://www.paghardware.com,22+ Years (Est. 2002),Mid-Range to Luxury,"Precision architectural hardware brand specializing in luxury brass and zinc mortise handles, knobs, and designer fittings.","Pan India, GCC Countries","Designer Door Handles, Rose Handles, Pull Handles, Tower Bolts, Door Stoppers","Pag, Pag Signature"
Archies Brass Hardware,Vipul Sorathiya (Director),contact@archieshardware.com,+91-281-2384500,https://www.archieshardware.com,20+ Years (Est. 2004),Mid-Range to Premium,"Rajkot manufacturer focused on designer brass door handles, zinc cabinet handles, and luxury architectural hardware.",Pan India,"Brass Mortise Handles, Pull Handles, Concealed Handles, Glass Patch Fittings, Magnetic Door Catchers","Archies, Archies Platinum"
Spider Metal Products Pvt. Ltd. (Spider Locks),Sanjay Bansal (Director),info@spiderlocks.com,+91-571-2400999,https://www.spiderlocks.com,35+ Years (Est. 1989),Economy to Mid-Range,"Aligarh-based locking and builders hardware manufacturer supplying brass locks, rim locks, and stainless steel hardware.","Pan India, Africa, Middle East","Padlocks, Multi-purpose Furniture Locks, Shutter Locks, Mortise Locks, Stainless Steel Hinges","Spider, Spider Gold"
Salice India (Salice Hardware Solutions),Marco Salice / Indian Ops Head,info@saliceindia.com,+91-22-68502000,https://www.salice.com/in/en,12+ Years in India (Global Est. 1926),Luxury to Ultra-Luxury,Italian luxury concealed hinge and furniture fitting manufacturer providing advanced pocket door and sliding systems.,Pan India (Tier 1 & Tier 2 Cities),"Concealed Hinges, Silentia Soft-Close Hinges, Pocket Door Systems, Coplanar Sliding Systems, Drawer Runners","Salice, Silentia, Air Concealed, Pacta"
Grass India (Mepla-Grass Furniture Hardware),Gaurav Malhotra (National Sales Head),info@grass.in,+91-22-67543200,https://www.grass.eu,16+ Years in India (Global Est. 1947),Premium to Ultra-Luxury,"Austrian movement systems specialist delivering premium concealed hinges, drawer slides, and electronic lift mechanisms.",Pan India,"Tiomos Hinge Systems, Nova Pro Drawer Systems, Vionaro Box Systems, Kinvaro Flap Fittings, Dynapro Slides","Grass, Tiomos, Nova Pro, Vionaro, Dynapro"
Titus Plus India (Titus Group),Binu Verghese (Sales Manager),titus.india@titusplus.com,+91-11-46012345,https://www.titusplus.com,14+ Years in India,Mid-Range to Premium,"European manufacturer of cabinet connectors, soft-close dampers, concealed hinges, and push-latch opening systems.",Pan India,"T-type Concealed Hinges, Cam Connectors, Push Latch Systems, Soft Close Dampers, Drawer Runners","Titus, Titusonic, T-type, Push Latch"
Innofitt Systems Pvt. Ltd.,Bhupesh Patel (Managing Director),sales@innofitt.com,+91-22-67253300,https://www.innofitt.com,25+ Years (Est. 1999),Mid-Range to Premium,"Specialized manufacturer of office ergonomic fittings, wire management systems, desk hardware, and architectural accessories.","Pan India, Middle East","Monitor Arms, Cable Raceways, Pop-up Socket Boxes, CPU Holders, Keyboard Trays, Drawer Organizers","Innofitt, Ergofit"
Jindal Stainless Architectural Hardware (JSL Lifestyle / Arttd'inox),Manoj Jindal (Head of Operations),contact@jsllifestyle.com,+91-124-4127700,https://www.jsllifestyle.com,20+ Years,Premium to Luxury,"Stainless steel architectural systems division of Jindal Stainless, manufacturing designer railings, balustrades, and fittings.",Pan India & Global,"Stainless Steel Railing Systems, Glass Balustrade Hardware, Door Pulls, Bathroom Hardware, Cladding Brackets","Arttd'inox, JSL Stainless, Arcotech"
Sleek International Pvt. Ltd. (Asian Paints),Pragyan Kumar (CEO),customercare@sleekworld.com,+91-1800-2120-500,https://www.sleekworld.com,30+ Years (Est. 1993),Mid-Range to Premium,"Major modular kitchen and wardrobe hardware provider backed by Asian Paints, offering comprehensive interior fittings.",Pan India (Over 250 showrooms),"Kitchen Wire Baskets, Corner Carousels, Pantry Units, Soft-Close Tandem Boxes, Wardrobe Sliding Hardware","Sleek, Asian Paints Sleek, Grass by Sleek"
Kaff Appliances & Hardware Fittings,Deepak Anand (Managing Director),customercare@kaff.in,+91-124-4309000,https://www.kaff.in,20+ Years,Mid-Range to Premium,"Leading home lifestyle enterprise providing modular kitchen hardware, pull-out storage accessories, and built-in appliances.",Pan India,"Modular Kitchen Hardware, Tall Pantry Units, Blind Corner Baskets, Magic Corners, Drawer Dividers","Kaff, Kaff Kitchen Systems"
Atomberg Technologies (Smart Locking Division),Manoj Meena (CEO & Co-founder),support@atomberg.com,+91-8976873142,https://www.atomberg.com,12+ Years (Est. 2012),Mid-Range to Premium,Smart consumer technology brand manufacturing next-generation digital smart door locks and connected home security hardware.,Pan India,"Smart Door Locks, Fingerprint Locksets, Wi-Fi Enabled Access Hardware, Digital Deadbolts","Atomberg, Atomberg SL1"
Spire Brass (Spire Architectural Hardware),Paresh Patel (Director),info@spirebrass.com,+91-288-2561234,https://www.spirebrass.com,18+ Years (Est. 2006),Mid-Range to Premium,"Jamnagar-based brass architectural hardware manufacturer producing precision turned brass handles, hinges, and sanitary fittings.","Pan India, UK, USA, Germany","Solid Brass Mortise Handles, Brass Cabinet Knobs, Heavy Brass Hinges, Brass Tower Bolts, Turned Hardware","Spire, Spire Brass"
Rolex Architectural Hardware (Rolex Brass Industries),Bhavin Bhalodia (Managing Partner),info@rolexhardware.com,+91-2827-287440,https://www.rolexhardware.com,25+ Years (Est. 1999),Mid-Range to Premium,"Rajkot architectural hardware manufacturer supplying zinc alloy and brass door handles, pull handles, and furniture accessories.","Pan India, Middle East, Africa","Zinc Door Handles, Pull Handles, Concealed Hinges, Aldrops, Door Stoppers, Tower Bolts","Rolex, Rolex Gold"
Lapo Hardware (Lapo Stainless Steel & Zinc Hardware),Jayesh Kasundra (Partner),sales@lapohardware.com,+91-2827-287885,https://www.lapohardware.com,15+ Years (Est. 2009),Economy to Mid-Range,"Manufacturer of stainless steel and zinc architectural door fittings, profile handles, and modular furniture hardware in Rajkot.",Pan India,"Main Door Pull Handles, Mortise Handle Sets, Profile Handles, Glass Brackets, Magnetic Catches","Lapo, Lapo Decor"
Max Architectural Hardware (Max Locks & Fittings),Jignesh Vora (Director),info@maxhardware.in,+91-2827-287220,https://www.maxhardware.in,16+ Years (Est. 2008),Mid-Range,"Rajkot producer of precision engineered door handles, cylindrical locks, and glass architectural fittings.","Pan India, Sri Lanka","Door Handles on Rose, Plate Handles, Euro Profile Cylinders, Glass Patch Fittings, Concealed Tower Bolts","Max, Max Ultra"
Accent Architectural Hardware,Hitesh Dobariya (Managing Partner),info@accenthardware.com,+91-2827-287661,https://www.accenthardware.com,14+ Years (Est. 2010),Mid-Range to Premium,"Contemporary architectural hardware brand known for minimalist zinc and brass handles, knobs, and wardrobe profiles.",Pan India,"Designer Mortise Handles, Luxury Pull Handles, Aluminium Edge Profiles, Glass Connectors","Accent, Accent Luxe"
Shree Shiv Shakti Brass Industries,Dharmesh Savaliya (Proprietor),info@shivshaktibrass.com,+91-288-2567890,https://www.shivshaktibrass.com,22+ Years (Est. 2002),Economy to Mid-Range,"Jamnagar precision brass component and architectural hardware manufacturer delivering brass inserts, hinges, and fasteners.",Pan India & Global,"Brass Architectural Hinges, Brass Tower Bolts, Precision Turned Brass Components, Sanitary Brass Parts",Shiv Shakti Brass
Raj Brass Industries,Rajesh Bhanderi (Managing Partner),contact@rajbrass.com,+91-288-2561122,https://www.rajbrass.com,26+ Years (Est. 1998),Mid-Range,"Export-oriented manufacturer of precision brass builders hardware, door hardware, and electrical/electronic brass parts in Jamnagar.","Pan India, USA, Europe, Middle East","Brass Door Hardware, Brass Hinges, Brass Knobs, Brass Cable Glands, Turned Components",Raj Brass
Shreeji Brass Industries,Mansukhbhai Patel (Founder),sales@shreejibrass.com,+91-288-2563344,https://www.shreejibrass.com,24+ Years (Est. 2000),Economy to Mid-Range,"Jamnagar manufacturer specializing in high-grade brass architectural hardware, lock parts, and extrusion components.","Pan India, Germany, UK","Brass Door Fittings, Brass Anchors, Brass Hinges, Precision Threaded Components, Brass Screws",Shreeji Brass
Maruti Brass Industries,Ashok Patel (Director),info@marutibrass.com,+91-288-2564455,https://www.marutibrass.com,20+ Years (Est. 2004),Mid-Range,"Precision brass components manufacturer serving architectural hardware, plumbing, and automotive sectors from Jamnagar.","Pan India, Export Markets","Brass Architectural Fittings, Brass Pipe Fittings, Window Handles, Brass Fasteners",Maruti Brass
Tiger Locks & Architectural Hardware,Mohd. Tariq (Managing Partner),info@tigerlocks.in,+91-571-2402244,https://www.tigerlocks.in,40+ Years (Est. 1984),Economy to Mid-Range,"Aligarh hardware manufacturer producing heavy-duty security locks, shutter locks, iron mongery, and gate fittings.","Pan India, North India","Shutter Padlocks, Double Locking Padlocks, Mortise Lock Bodies, Iron Hinges, Gate Latches","Tiger, Tiger Strong"
Metako Architectural Hardware,Ketan Vaghasiya (Partner),sales@metakohardware.com,+91-2827-287340,https://www.metakohardware.com,12+ Years (Est. 2012),Mid-Range to Premium,"Rajkot manufacturer focused on stainless steel 304/316 grade pull handles, glass fittings, and designer mortise handles.",Pan India,"SS Main Door Pull Handles, Glass Patch Fittings, Shower Enclosure Connectors, Concealed Hinges",Metako
Olive Brass Industries,Pravin Bhalodi (Proprietor),info@olivebrass.com,+91-288-2569911,https://www.olivebrass.com,19+ Years (Est. 2005),Mid-Range,"Jamnagar manufacturer and exporter of brass architectural ironmongery, window fittings, and turned brass parts.",Pan India & Overseas,"Brass Casement Stays, Brass Hinges, Brass Door Handles, Turned Brass Bushings",Olive Brass
Hardik Brass Industries,Hardik Patel (Director),sales@hardikbrass.com,+91-288-2568822,https://www.hardikbrass.com,17+ Years (Est. 2007),Mid-Range,"Specialized brass hardware manufacturer based in Jamnagar producing architectural hardware, sanitary fittings, and custom components.","Pan India, Europe","Brass Ball Catchers, Brass Tower Bolts, Brass Flush Bolts, Precision CNC Turned Parts",Hardik Brass
Om Brass Industries,Mukesh Patel (Managing Partner),info@ombrass.com,+91-288-2567733,https://www.ombrass.com,21+ Years (Est. 2003),Economy to Mid-Range,"Jamnagar manufacturer supplying brass extrusion components, door and window hardware, and threaded inserts.","Pan India, Export Markets","Brass Door Pulls, Brass Window Fasteners, Brass Hinges, Brass Electrical Fittings",Om Brass
Jay Ambe Brass Products,Gopalbhai Kansagra (Proprietor),contact@jayambebrass.com,+91-288-2566644,https://www.jayambebrass.com,23+ Years (Est. 2001),Economy to Mid-Range,"Jamnagar-based brass precision parts manufacturer producing architectural fittings, plumbing connectors, and fasteners.",Pan India,"Brass Architectural Fittings, Brass Nuts & Bolts, Sanitary Components, CNC Machined Parts",Jay Ambe Brass
Radhe Brass Industries,Vijay Bhesaniya (Director),info@radhebrass.com,+91-288-2565511,https://www.radhebrass.com,18+ Years (Est. 2006),Mid-Range,"Manufacturer of high-precision brass architectural hardware, glass fittings, and turned components in Jamnagar.",Pan India & Export,"Brass Glass Brackets, Brass Door Stoppers, Brass Hinges, Turned Precision Components",Radhe Brass
Mahavir Brass Industries,Sanjay Shah (Partner),sales@mahavirbrass.com,+91-288-2564499,https://www.mahavirbrass.com,28+ Years (Est. 1996),Economy to Mid-Range,"Established Jamnagar manufacturer specializing in brass builders hardware, electrical parts, and sanitary accessories.","Pan India, Middle East","Brass Padlocks Components, Brass Window Latches, Brass Extruded Rods, Screws",Mahavir Brass
Khodiyar Brass Industries,Kishorbhai Patel (Proprietor),info@khodiyarbrass.com,+91-288-2563388,https://www.khodiyarbrass.com,20+ Years (Est. 2004),Economy to Mid-Range,"Jamnagar manufacturer of brass door hardware, cabinet fittings, and custom machined brass components.",Pan India,"Brass Cabinet Handles, Brass Hinges, Brass Tower Bolts, Fasteners",Khodiyar Brass
Ambica Brass Industries,Nilesh Radadiya (Director),contact@ambicabrass.com,+91-288-2562277,https://www.ambicabrass.com,22+ Years (Est. 2002),Mid-Range,"Jamnagar precision manufacturer offering turned brass architectural fittings, cable glands, and anchor fasteners.","Pan India, Export Markets","Brass Architectural Fasteners, Brass Threaded Rods, Door Hinges, Turned Components",Ambica Brass
Shree Ganesh Brass Products,Jayantilal Patel (Managing Partner),sales@ganeshbrass.com,+91-288-2561166,https://www.ganeshbrass.com,25+ Years (Est. 1999),Economy to Mid-Range,"Jamnagar manufacturer of brass architectural ironmongery, precision turned parts, and sanitary brass accessories.",Pan India,"Brass Door Pulls, Hinges, Screws, Precision Turned Pins, Extruded Sections",Ganesh Brass
Royal Architectural Hardware,Hareshbhai Donga (Director),info@royalhardware.co.in,+91-2827-287755,https://www.royalhardware.co.in,16+ Years (Est. 2008),Mid-Range to Premium,"Rajkot manufacturer of zinc and brass architectural mortise handles, knobs, and modern door pull accessories.",Pan India,"Zinc Mortise Handles, Main Door Pulls, Cabinet Knobs, Concealed Hinges","Royal Hardware, Royal Gold"
Saffron Architectural Hardware,Chandresh Mendapara (Partner),sales@saffronhardware.com,+91-2827-287822,https://www.saffronhardware.com,14+ Years (Est. 2010),Mid-Range to Premium,"Rajkot manufacturer known for luxury zinc alloy door handles, main door pull handles, and cabinet profile handles.","Pan India, Middle East","Luxury Mortise Handles, Designer Pull Handles, Concealed Profile Handles, Glass Hardware","Saffron, Saffron Luxe"
Delta Architectural Hardware,Hasmukh Patel (Managing Director),info@deltahardware.in,+91-2827-287933,https://www.deltahardware.in,18+ Years (Est. 2006),Mid-Range,"Rajkot-based manufacturer producing durable zinc and stainless steel architectural door handles, mortise locksets, and window fittings.",Pan India,"Mortise Handles, SS Pull Handles, Window Stays, Tower Bolts, Door Latches","Delta, Delta Pro"
Matrix Architectural Hardware,Saurabh Shah (Director),contact@matrixhardware.co.in,+91-79-26581100,https://www.matrixhardware.co.in,15+ Years (Est. 2009),Mid-Range to Premium,"Ahmedabad-based architectural hardware supplier specializing in commercial glass fittings, patch fittings, and door closer mechanisms.","Gujarat, Maharashtra, Pan India","Glass Patch Hardware, Shower Hinges, Floor Springs, Spider Brackets, Canopy Fittings",Matrix Hardware
Stanley Architectural Hardware India (Stanley Black & Decker),Alok Nigam (Managing Director - India),stanley.india@sbdinc.com,+91-80-67598000,https://www.stanleyblackanddecker.com,30+ Years in India (Global Est. 1843),Premium to Luxury,"Global industrial and architectural hardware giant providing commercial hinges, door closers, and heavy-duty mechanical locking systems.",Pan India & Global,"Commercial Door Hinges, Continuous Geared Hinges, Panic Exit Hardware, Door Closers, Cylinders","Stanley, Stanley Commercial Hardware, Best, Precision"
Cisa Locks & Architectural Hardware (Allegion India Pvt. Ltd.),Sunil Agnihotri (Commercial Director),cisa.india@allegion.com,+91-80-46672000,https://www.allegion.com/en/index.html,25+ Years in India (Global Est. 1926),Premium to Luxury,"Italian high-security locking and architectural ironmongery manufacturer under Allegion, renowned for electric rim locks and panic bars.",Pan India & SAARC,"Electric Locks, Panic Exit Devices, Master Key Cylinders, Door Closers, Heavy Duty Mortise Locks","CISA, Allegion, Briton"
Schlage India (Allegion India Pvt. Ltd.),Rajnish Kalia (Sales Head),schlage.india@allegion.com,+91-80-46672100,https://www.schlage.com,20+ Years in India (Global Est. 1920),Premium to Luxury,"American premium residential and commercial security hardware brand offering smart deadbolts, mortise locks, and electronic credentials.",Pan India,"Smart Deadbolts, Keyless Entry Locks, Commercial Grade Mortise Locks, Architectural Escutcheons","Schlage, Schlage Sense, Schlage Encode"
JNF Architectural Hardware India,Nitin Chopra (India Representative),info@jnfindia.com,+91-22-26834455,https://www.jnf.pt,15+ Years in India (Global Est. 1965),Luxury to Ultra-Luxury,"Portuguese luxury architectural hardware manufacturer crafting precision AISI 316 stainless steel door handles, glass fittings, and bathroom accessories.",Pan India (Tier 1 Metros),"AISI 316 Stainless Steel Door Handles, Magnetic Mortise Locks, Concealed 3D Hinges, Glass Patch Systems, Bathroom Accessories","JNF Portugal, JNF Architectural"
Royaloak Hardware & Fittings,Vijay Subramaniam (Managing Director),customercare@royaloakindia.com,+91-80-47494444,https://www.royaloakindia.com,20+ Years (Est. 2004),Economy to Mid-Range,"Leading home furniture and hardware fittings retail chain offering functional interior fittings, sliding mechanisms, and hardware parts.",Pan India (Over 150 stores),"Wardrobe Sliding Fittings, Soft-Close Hinges, Furniture Handles, Bed Fitting Mechanisms","Royaloak, Royaloak Hardware"
Jaquar Architectural Hardware (Jaquar Group),Rajesh Mehra (Director),support@jaquar.com,+91-124-4746800,https://www.jaquar.com,60+ Years (Est. 1960),Mid-Range to Luxury,"India's premier bathroom and lighting conglomerate offering luxury architectural shower hardware, glass connectors, and bathroom fittings.",Pan India & Global (Over 55 countries),"Shower Hinges, Glass Connectors, Sliding Shower Enclosure Hardware, Towel Bars, Robe Hooks","Jaquar, Artize, Essco"
Parryware Architectural Fittings (Roca Bathroom Products Pvt. Ltd.),K. E. Ranganathan (Managing Director),customercare@parryware.com,+91-44-42888000,https://www.parryware.in,70+ Years (Est. 1952),Economy to Premium,"Leading sanitaryware and architectural bathroom hardware brand offering reliable brass fixtures, concealed cisterns, and bathroom fittings.",Pan India & South Asia,"Bathroom Fittings, Concealed Flush Valves, Stainless Steel Towel Rails, Health Faucets, Grab Bars","Parryware, Roca"
Hindware Architectural Hardware (Hindware Home Innovation Ltd.),Sudhanshu Pokhriyal (CEO),care@hindware.co.in,+91-124-4779200,https://www.hindware.com,65+ Years (Est. 1960),Mid-Range to Luxury,"Iconic Indian sanitary and architectural hardware brand offering luxury bathroom accessories, sensor hardware, and kitchen fittings.",Pan India,"Architectural Bathroom Fittings, Sensor Faucets, Glass Partition Channels, Kitchen Sinks & Fittings","Hindware, Hindware Italian Collection, Queo"
Franke Faber India (Fittings Division),Puneet Gupta (Managing Director),ks-customercare.in@franke.com,+91-20-67440000,https://www.franke.com/in/en/hs.html,25+ Years in India (Global Est. 1911),Premium to Luxury,"Swiss precision kitchen systems and architectural fitting manufacturer providing stainless steel kitchen sinks, waste systems, and fittings.",Pan India,"Stainless Steel Kitchen Sinks, Waste Disposal Fittings, Kitchen Faucets, Soap Dispensers, Wire Grid Accessories","Franke, Faber"
