Agency Name,Email,Phone number,City,Country,Trade license no.,RERA Number,Agency Size,Specializations,Website
PropertyPistol Realty Pvt. Ltd.,contact@propertypistol.com,+91 97690 25555,Navi Mumbai,India,U70102MH2013PTC248443,A51700000043,Large (51-200),"Residential Projects, Developer Marketing, Tech-enabled Brokerage, Mandate Sales",https://www.propertypistol.com
Kunvarji Realty Advisors Pvt. Ltd.,info@kunvarjirealty.com,+91 79 6666 9000,Ahmedabad,India,U67120GJ2005PTC047124,AG/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/AA00030/171022R1,Medium (11-50),"Industrial Land, Warehousing, Commercial Real Estate, Capital Advisory",https://kunvarjirealty.com
The Real Estate Connect (TREC),info@therealestateconnect.com,+91 99099 98637,Ahmedabad,India,U70109GJ2016PTC094850,AG/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/AA00115/2017,Medium (11-50),"Luxury Residential, Commercial Offices, Retail Showrooms, Industrial Land",https://therealestateconnect.com
RES Management,info@resmanagement.in,+91 93161 56656,Ahmedabad,India,Trade Reg: AMC-GJ-09821,AG/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/AA00491/250219,Small (1-10),"Commercial Real Estate, Pre-Leased Properties, Office Space Leasing",https://www.resmanagement.in
Gupta & Sen Luxury Real Estate,team@guptasen.com,+91 98206 07875,Mumbai,India,Trade Reg: MCGM-MH-10291,A51900040347,Small (1-10),"Ultra-Luxury Residences, Sea-Facing Penthouses, Heritage Bungalows, High-End Resale",https://www.guptasen.com
Bhatnagars Real Estate Services,info@bhatnagars.co.in,+91 20 2612 2293,Pune,India,Trade Reg: PMC-MH-44012,A52100000185,Small (1-10),"Luxury Residential, Commercial Leasing, Expat Relocation, High-End Rentals",https://bhatnagars.co.in
Stanley Estate Consultants,stanleyestateconsultants@gmail.com,+91 98210 26455,Mumbai,India,Trade Reg: MCGM-MH-33921,A51900036589,Small (1-10),"Commercial Offices, Corporate Leasing, Retail Spaces, Andheri Commercial Hub",https://www.stanleyestateconsultants.com
RaeesRoyal Pvt. Ltd.,care@raeesroyal.com,+91 93592 85479,Pune,India,U70109PN2019PTC185493,A52100021480,Small (1-10),"Residential Apartments, Commercial Advisory, Plot Transactions, Land Development",http://raeesroyal.com
Tejal Realtors Pvt. Ltd.,tejalrealtors@gmail.com,+91 98210 28996,Mumbai,India,U70102MH2011PTC215682,A51800001078,Small (1-10),"Residential Resale, Redevelopment Advisory, Western Suburbs Leasing",https://www.tejalrealtors.com
Bright Real Estate Consultant,brightrealestate@gmail.com,+91 98194 49308,Thane,India,Trade Reg: TMC-MH-88120,A51700012431,Small (1-10),"Integrated Townships, Palava & Dombivli Residential, Commercial Retailing",https://brightrealestate.in
Mudra Consultancy & Advisory Pvt. Ltd.,info@mudraconsultancy.in,+91 22 2580 4455,Thane,India,U74140MH2015PTC261890,A51700000025,Medium (11-50),"Commercial Real Estate, Industrial Land, Corporate Real Estate, Retail Leasing",https://mudraconsultancy.in
Kan India Realtors Pvt. Ltd.,info@kanindiarealtors.com,+91 22 4127 8888,Thane,India,U70102MH2016PTC288412,A51700008693,Small (1-10),"High-Rise Residential, Investment Consulting, Thane Suburbs Brokerage",https://kanindiarealtors.com
Shree Real Estate Consultancy,contact@shreerealestate.in,+91 84016 27941,Rajkot,India,Trade Reg: RMC-GJ-10291,AG/GJ/RAJKOT/RAJKOT/Others/AA00312/181219,Small (1-10),"Residential Plots, Independent Bungalows, Commercial Shops, Industrial Land",https://www.shreerealestate.com
Active Real Estate Consultancy,activerealestaterajkot@gmail.com,+91 98250 33412,Rajkot,India,Trade Reg: RMC-GJ-05412,AG/GJ/RAJKOT/RAJKOT/Others/AA00198/080518,Small (1-10),"Commercial Leasing, Residential Resale, Saurashtra Commercial Belt Advisory",https://activerealestate.in
Wings Properties,contact@wingsproperties.in,+91 97370 22550,Ahmedabad,India,Trade Reg: AMC-GJ-77124,AG/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/AA00782/190320,Small (1-10),"Primary Residential Sales, Curated Project Advisory, Luxury Apartments",https://wingsproperties.in
Sharda Space Adviser Pvt. Ltd.,shardaspace@gmail.com,+91 72030 40884,Ahmedabad,India,U70100GJ2018PTC104112,AG/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/AA00523/110719,Small (1-10),"Corporate Office Leasing, Commercial Showrooms, Land Aggregation",https://shardaspace.com
Space Management Real Estate,info@spacemanagement.in,+91 78780 02244,Ahmedabad,India,Trade Reg: AMC-GJ-66109,AG/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/AA00394/150618,Small (1-10),"Commercial Spaces, Industrial Sheds, Retail Outlets, Warehousing",https://spacemanagement.in
Aditya Real Estate & Property Advisory,adityapropertiesbaroda@gmail.com,+91 97377 79917,Vadodara,India,Trade Reg: VMC-GJ-33918,AG/GJ/VADODARA/VADODARA/Others/AA00419/260218,Medium (11-50),"Residential Villas, Premium Apartments, Commercial Showrooms",http://www.adityavilla.com
Avadh Property Consultants / Avadh Realty,info@avadhrealty.com,+91 98793 64000,Surat,India,Trade Reg: SMC-GJ-91823,AG/GJ/SURAT/SURAT/Others/AA00267/140418,Medium (11-50),"Luxury High-Rise, Textile Markets, Commercial Hubs, Industrial Parks",https://www.avadhprojects.com
Saffron Real Estate Consultants,saffronrealtorsnashik@gmail.com,+91 253 231 9988,Nashik,India,Trade Reg: NMC-MH-11209,A51600008452,Small (1-10),"Residential Plots, Agro-Estates & Vineyards, Commercial Land, Resale",https://saffronrealtors.in
Aristo Real Estate Consultants,info@aristouniversal.com,+91 91303 07464,Navi Mumbai,India,Trade Reg: NMMC-MH-44129,A51700015672,Small (1-10),"CBD Belapur Commercial Towers, Office Spaces, Residential High-Rises",https://aristouniversal.com
Premnath Realtors,info@premnathrealtors.com,+91 22 2640 1818,Mumbai,India,Trade Reg: MCGM-MH-77182,A51900011245,Small (1-10),"Bandra Luxury Residences, Sea-Facing Properties, Commercial Showrooms",https://premnathrealtors.com
Goyal Real Estate Consultants,goyalrealtorspune@gmail.com,+91 98220 12345,Pune,India,Trade Reg: PMC-MH-99120,A52100014521,Small (1-10),"Kalyani Nagar & Koregaon Park Luxury Flats, Commercial Offices",https://goyalrealtors.com
Silver Oak Properties,silveroakpropertiesvadodara@gmail.com,+91 98251 44556,Vadodara,India,Trade Reg: VMC-GJ-66190,AG/GJ/VADODARA/VADODARA/Others/AA00582/100919,Small (1-10),"Alkapuri Commercial Offices, Gotri Residential Plots & Villas",https://silveroakvadodara.com
Surat Real Estate Hub,contact@suratrealestatehub.com,+91 98980 11223,Surat,India,Trade Reg: SMC-GJ-44510,AG/GJ/SURAT/SURAT/Others/AA00455/120219,Small (1-10),"Vesu Luxury Apartments, Ring Road Commercial Shops & Textile Hubs",https://suratrealestatehub.com
Hanu Reddy Realty India Pvt. Ltd.,srini07@hanureddyrealty.com,+91 44 4399 9000,Chennai,India,U70101TN1995PTC030527,TN/Agent/0001/2017,Large (51-200),"Luxury Residential, Commercial Leasing, NRI Property Management, Land Acquisition",https://www.hanureddyrealty.com
PropLeaf Realty Tech Pvt. Ltd.,enquiry@propleaf.com,+91 99526 66269,Chennai,India,U70200TN2022PTC156475,TN/Agent/0575/2022,Medium (11-50),"Gated Villa Communities, Developer Channel Partner Sales, Luxury High-Rise Apartments",https://www.propleaf.com
Silverline Realty Pvt. Ltd.,accounts@silverlinerealty.com,+91 80 4082 8888,Bengaluru,India,U45201KA1995PTC018790,PRM/KA/RERA/1251/310/AG/171114/000412,Medium (11-50),"Corporate Office Leasing, Tech Park Relocation, High-End Residential, Industrial Land",https://www.silverlinerealty.com
Home Konnect,enquiry@homekonnect.com,+91 99403 66555,Chennai,India,Trade Reg: GCC-TN-88120,TN/29/Agent/0059/2017,Medium (11-50),"Luxury Residential Advisory, Premium Villas, High-Net-Worth Advisory, Gated Communities",https://www.homekonnect.com
Connection Point,ar@connectionpoint.in,+91 98410 44884,Chennai,India,Trade Reg: GCC-TN-33190,TN/Agent/0018/2017,Small (1-10),"Prime Commercial Retail, Office Space Leasing, High-Value Residential Resale",https://www.connectionpoint.in
Vestian Global Workplace Services Pvt. Ltd.,info@vestian.com,+91 80 4062 0100,Bengaluru,India,U70102KA2010FTC052467,PRM/KA/RERA/1251/310/AG/170915/000109,Large (51-200),"Commercial Tenant Representation, Tech Park Leasing, Workplace Solutions, Corporate Advisory",https://www.vestian.com
Homes247 Technologies Pvt. Ltd.,info@homes247.in,+91 91642 47247,Bengaluru,India,U72900KA2017PTC108849,PRM/KA/RERA/1251/310/AG/180220/001844,Medium (11-50),"PropTech Brokerage, Primary Residential Sales, Integrated Villa Communities, NRI Advisory",https://www.homes247.in
Properticks Realty Info Pvt. Ltd.,praveenrajan.v@properticks.com,+91 84285 09509,Chennai,India,U70100TN2019PTC131927,TN/29/Agent/0189/2020,Medium (11-50),"Plotted Developments, Suburban Gated Townships, Affordable Luxury Housing, Villa Communities",https://www.properticks.com
Honeyy Group,info@honeyygroup.com,+91 76106 66999,Visakhapatnam,India,U70100AP2016PTC103248,AP-RERA-AGENT-00412,Enterprise (200+),"Gated Communities, Residential Apartments, Commercial Real Estate, Open Plotted Layouts",https://www.honeyygroup.com
Kochi Realtor,bijbalan@gmail.com,+91 93493 91800,Kochi,India,Trade Reg: KMC-KL-55102,K-RERA/AG/0012/2022,Small (1-10),"Premium Waterfront Villas, Residential Resale, Commercial Land Acquisition, Luxury Apartments",https://www.kochirera.com
SAP Real Estate Agency,saprealestatealuva@gmail.com,+91 99958 49666,Kochi,India,Trade Reg: KMC-KL-44918,K-RERA/AG/0009/2023,Small (1-10),"Land Parcel Brokerage, Residential Villas, Commercial Highway Plots, Warehousing Leasing",https://saprealestate.in
Reyleon Estates (Reyleon Services Pvt. Ltd.),info@reyleon.com,+91 484 4020899,Kochi,India,U74999KL2015PTC039420,K-RERA/AG/0045/2021,Small (1-10),"Corporate Office Leasing, Managed Workspaces, Prime Commercial Spaces, IT Infrastructure",https://reyleon.com
Globuse Realtors Pvt. Ltd.,info@globuse.com,+91 96596 23599,Coimbatore,India,U45201TZ2006PTC013259,TN/11/Layout/2262/2026,Medium (11-50),"Luxury Villas, Gated Plotted Communities, Integrated Townships, Hill Country Residences",https://www.globuse.com
Sree Daksha Property Developers (India) Pvt. Ltd.,enquiry@sreedaksha.com,+91 95006 11111,Coimbatore,India,U45201TZ2007PTC013898,TN/11/Building/0500/2024,Large (51-200),"Luxury Gated Communities, Eco-Friendly Residential Apartments, Villa Townships, Premium Plots",https://sreedaksha.com
Town and City Developers (TNCD Realty),info@townandcitydevelopers.com,+91 76676 99999,Coimbatore,India,U70102TZ2011PTC017415,TN/11/Building/0526/2022,Medium (11-50),"Gated Communities, Smart-Home Apartments, Commercial Outlets, Affordable Luxury Living",https://tncd.in
Gravity One Living Space Pvt. Ltd.,sales@gravityone.com,+91 91080 11927,Mysuru,India,U45403KA2017PTC104131,PRM/KA/RERA/1268/388/PR/180516/001712,Medium (11-50),"Luxury Apartments, Heritage Zone Residences, Gated Communities, Commercial Developments",https://gravityone.com
GAK Group Property Consultants,contact@gakgroup.in,+91 90890 80505,Hyderabad,India,Trade Reg: GHMC-TS-11920,TSRERA: A02400001429,Small (1-10),"IT Corridor Residential Sales (HITEC City/Gachibowli), Commercial Leasing, Gated Communities",https://gakgroup.in
SpeedX Realty,info@speedxrealty.com,+91 80083 83399,Hyderabad,India,Trade Reg: GHMC-TS-77218,TSRERA: A02400002105,Small (1-10),"Gated Communities, Luxury Villas in Financial District, Pre-Launch High-Rise Advisory",https://www.speedxrealty.com
Prime Habitat Property Consultants,info@primehabitat.in,+91 80 4120 7788,Bengaluru,India,Trade Reg: BBMP-KA-99214,PRM/KA/RERA/1251/310/AG/190115/002241,Small (1-10),"Indiranagar & Koramangala Luxury Resale, Whitefield Tech Corridor Leasing",https://primehabitat.in
Hyderabad Prime Properties,sales@hyderabadprimeproperties.com,+91 98490 22334,Hyderabad,India,Trade Reg: GHMC-TS-44192,TSRERA: A02400003310,Small (1-10),"Jubilee Hills & Banjara Hills Luxury Bungalows, Kokapet High-Rise Apartments",https://hyderabadprimeproperties.com
Chennai Dream Homes,info@chennaidreamhomes.com,+91 98409 51001,Chennai,India,Trade Reg: GCC-TN-55219,TN/Agent/0112/2018,Small (1-10),"ECR Beachfront Villas, OMR IT Corridor Apartments, Luxury Penthouse Resale",https://chennaidreamhomes.com
Kochi Homes & Infra,contact@kochihomes.com,+91 94471 22334,Kochi,India,Trade Reg: KMC-KL-11092,K-RERA/AG/0088/2022,Small (1-10),"Marine Drive Waterfront Condos, Kakkanad Infopark Residential & Commercial",https://kochihomes.com
Kovai Real Estate Advisory,kovaiestates@gmail.com,+91 98422 33445,Coimbatore,India,Trade Reg: CCMC-TN-88214,TN/11/Agent/0091/2019,Small (1-10),"Avinashi Road Commercial Showrooms, Saravanampatti IT Park Housing",https://kovairealestate.com
Vizag City Realtors,info@vizagcityrealtors.com,+91 891 275 8899,Visakhapatnam,India,Trade Reg: GVMC-AP-44120,AP-RERA-AGENT-00874,Small (1-10),"Beach Road Luxury Apartments, Madhurawada IT SEZ Housing & Commercial",https://vizagcityrealtors.com
Mysore Royal Properties,contact@mysoreroyalproperties.com,+91 821 241 5566,Mysuru,India,Trade Reg: MCC-KA-33218,PRM/KA/RERA/1268/388/AG/190812/001415,Small (1-10),"Gokulam & Jayalakshmipuram Residential Resale, Hebbal Industrial Plots",https://mysoreroyalproperties.com
Colliers International (India) Property Services Pvt. Ltd.,india.finance@colliers.com,+91 22 6706 7000,Mumbai,India,U74140MH1995PTC087914,A51900000164,Enterprise (200+),"Commercial Advisory, Office Leasing, Industrial Corridors & Logistics, Capital Markets",https://www.colliers.com/en-in
Savills Property Services (India) Pvt. Ltd.,inquiry@savills.in,+91 22 6884 1500,Mumbai,India,U74140MH2014PTC254344,A51900017631,Large (51-200),"Commercial Leasing, Industrial & Logistics, Premium Residential, Capital Markets, Valuation",https://www.savills.in
PropTiger Marketing Services Pvt. Ltd. (REA India),customer.service@proptiger.com,+91 124 486 6789,Gurgaon,India,U74140DL2014PTC264024,HRERA-PKL-REA-38-2018,Enterprise (200+),"Primary Residential Sales, End-to-End Home Advisory, Transaction Management, Digital Real Estate",https://www.proptiger.com
NK Realtors Private Limited,sales@nkrealtors.com,+91 98300 11551,Kolkata,India,U70109WB2001PTC093414,WBRERA/RA/KOL/2023/000008,Large (51-200),"Residential Sales, Developer Project Marketing, Commercial Leasing, Sole Selling Agency",https://nkrealtors.com
Pioneer Property Management Ltd.,sales@pioneerproperty.in,+91 33 4002 4002,Kolkata,India,U70100WB2006PLC107590,WBRERA/RA/KOL/2023/000014,Large (51-200),"Residential Real Estate Marketing, Luxury Housing, Commercial Leasing, Sole Selling & Advisory",https://pioneerproperty.in
Somani Realtors Private Limited,info@somanirealtors.com,+91 90517 40000,Kolkata,India,U70109WB2008PTC127926,WBRERA/RA/KOL/2023/000001,Large (51-200),"Residential Property Sales, Project Marketing, Resale Brokerage, Commercial Advisory",https://www.somanirealtors.com
Dream Weavers Realty Consultants Pvt. Ltd.,info@dreamweaversrealty.com,+91 89810 23432,Kolkata,India,U70102WB2013PTC192942,WBRERA/RA/KOL/2023/000045,Medium (11-50),"Residential Sales, New Project Launch Advisory, Commercial Real Estate, Legal Documentation",https://dreamweaversrealty.com
Liyaans Properties (Liyans Commerce Pvt. Ltd.),info@liyaans.com,+91 33 4084 4084,Kolkata,India,U51909WB2010PTC147605,WBRERA/RA/KOL/2023/000002,Large (51-200),"Residential Sales, Property Advisory, Project Marketing, Legal Due Diligence, Resale & Rentals",https://www.liyaans.com
DB Homes and Property Consultant,dbhomesodisha@gmail.com,+91 78468 84436,Bhubaneswar,India,Trade Reg: BMC-OD-10294,ORA/0399/2026,Small (1-10),"Residential Plot Sales, Duplex & Apartment Brokerage, Commercial Land Sourcing, Local Due Diligence",https://dbhomesodisha.com
Moms Leaf India Private Limited,momsleafindia.pvtltd@gmail.com,+91 97769 98900,Bhubaneswar,India,U68200OD2024PTC046801,ORA/0400/2026,Small (1-10),"Residential Housing Brokerage, Land Aggregation, Investment Advisory, Project Sourcing",https://momsleafindia.com
Falcon Real Estate Pvt. Ltd.,info@falconrealestate.in,+91 89263 21811,Bhubaneswar,India,U70101OR1995PTC004031,RP/19/2023/00922,Medium (11-50),"Premium Residential Sales, Commercial Space Marketing, Joint Ventures, Real Estate Advisory",https://falconrealestate.in
Saakaar Constructions & Real Estate Advisory,sales@saakaar.com,+91 62877 34444,Patna,India,U00502BR1996PTC007493,BRERAP00010-1/2018,Large (51-200),"Residential Township Marketing, Luxury Flats Sales, Commercial Real Estate, Property Advisory",https://saakaar.com
MNU Consultant Private Limited,ankit2011@mncpl.com,+91 94322 71793,Ranchi,India,U74140JH2011PTC015092,JHARERA/PROJECT/2830,Medium (11-50),"Commercial Real Estate Consultancy, Land Valuation, Technical & Structural Advisory",https://mncpl.com
Pranami Group Realty & Property Advisory,info@pranamigroup.com,+91 651 221 4400,Ranchi,India,U70100JH2002PTC010521,JHARERA/PROJECT/35/2023,Large (51-200),"Residential Sales, Commercial Complexes, Gated Community Marketing, Investment Advisory",https://pranamigroup.com
Sunil Agrawal and Associates (SAA),sales@saa.one,+91 88893 50111,Indore,India,Trade Reg: IMC-MP-11029,A-IND-17-002,Large (51-200),"Retail Mall Leasing, Commercial Leasing, High-End Residential Sales, Industrial Corridor Advisory",https://www.saa.one
VP Financial Nest & Real Estate Consultancy,vpfinancialnest@gmail.com,+91 755 425 9228,Bhopal,India,Trade Reg: BMC-MP-88124,MPRERA-A-BPL-18-045,Small (1-10),"Residential Property Advisory, Real Estate Financing & Loans, Commercial Property Broking",https://vpfnfinancial.com
ReraProperty.com (Yashom Properties Dot Com Pvt. Ltd.),info@reraproperty.com,+91 90218 34482,Nagpur,India,U72900MH2021PTC362145,A50500028914,Medium (11-50),"Primary Residential Sales, RERA-Verified Property Platform, Plots & Townships, Commercial Advisory",https://reraproperty.com
Avinash Group Property Advisory & Sales,info@avinashgroup.com,+91 90982 22444,Raipur,India,U45201CT1996PTC011245,PCGRERA160618000215,Enterprise (200+),"Township Development Marketing, Integrated Residential Sales, Commercial & Retail Mall Leasing",https://www.avinashgroup.com
Indore Property Hub,info@indorepropertyhub.in,+91 731 405 6789,Indore,India,Trade Reg: IMC-MP-33219,A-IND-18-089,Small (1-10),"Super Corridor Commercial Land, AB Road Luxury Apartments, Bypass Township Plots",https://indorepropertyhub.in
Bhopal Real Estate Solutions,contact@bhopalrealty.in,+91 755 274 5566,Bhopal,India,Trade Reg: BMC-MP-55102,A-BPL-19-112,Small (1-10),"Arera Colony Luxury Bungalows, Hoshangabad Road Plotted Townships",https://bhopalrealty.in
Nagpur Metro Realtors,info@nagpurmetrorealtors.com,+91 712 255 4433,Nagpur,India,Trade Reg: NMC-MH-77120,A50500019283,Small (1-10),"MIHAN Commercial SEZ & Logistics, Wardha Road Integrated Townships",https://nagpurmetrorealtors.com
Patna Property Bazaar,sales@patnapropertybazaar.com,+91 612 250 8899,Patna,India,Trade Reg: PMC-BR-44190,BRERAP00145-2/2019,Small (1-10),"Bailey Road Commercial Showrooms, Boring Road Residential Apartments",https://patnapropertybazaar.com
Kolkata Prime Properties,info@kolkataprimeproperties.com,+91 33 2280 4455,Kolkata,India,Trade Reg: KMC-WB-99124,WBRERA/RA/KOL/2023/000088,Small (1-10),"EM Bypass High-End Condominiums, New Town IT Hub Commercial Office Leasing",https://kolkataprimeproperties.com
Bhubaneswar Real Estate Network,contact@bhubaneswarrealtors.in,+91 674 254 1122,Bhubaneswar,India,Trade Reg: BMC-OD-77210,ORA/0425/2026,Small (1-10),"Patia & Infocity Commercial IT Office Space, Khandagiri Residential Duplexes",https://bhubaneswarrealtors.in
Raipur City Realtors,info@raipurcityrealtors.com,+91 771 288 3344,Raipur,India,Trade Reg: RMC-CT-22194,PCGRERA210818000412,Small (1-10),"Naya Raipur Smart City Commercial Plots, VIP Road Luxury Villas",https://raipurcityrealtors.com
