Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Products,IRDAI Registration Number
Cholamandalam MS General Insurance Co. Ltd.,V. Suryanarayanan (MD),customercare@cholams.murugappa.com,1800-208-5544,https://www.cholainsurance.com,25 Years (Est. 2001),"₹1,200 - ₹35,000+ / year",Joint venture between Murugappa Group and Mitsui Sumitomo Insurance offering comprehensive property and asset protection for homes and businesses.,Pan-India,"Chola Home Insurance, Bharat Griha Raksha, Business Interruption & Fire Cover, Industrial Property Insurance, Office Protection Plan",IRDAI Reg. No. 123
Royal Sundaram General Insurance Co. Ltd.,M.S. Sreedhar (MD),customer.services@royalsundaram.in,1860-425-0000,https://www.royalsundaram.in,26 Years (Est. 2000),"₹1,400 - ₹40,000+ / year","First private general insurer licensed in India offering multi-hazard property coverage, home structure/contents insurance, and commercial enterprise security.",Pan-India,"Home Shield Plan, Bharat Griha Raksha, Commercial Property Insurance, Business Guard, Fire & Special Perils",IRDAI Reg. No. 102
IFFCO Tokio General Insurance Co. Ltd.,Subrata Mondal (MD & CEO),websupport@iffcotokio.co.in,1800-103-5499,https://www.iffcotokio.co.in,26 Years (Est. 2000),"₹1,200 - ₹36,000+ / year","Leading general insurer jointly owned by IFFCO and Tokio Marine offering property, residential structure, inventory, and industrial asset insurance.",Pan-India,"Home Suvidha Policy, Bharat Griha Raksha, Bharat Laghu Udyam Suraksha, Standard Fire & Special Perils, Trade Protector",IRDAI Reg. No. 106
Go Digit General Insurance Ltd.,Jasleen Kohli (MD & CEO),hello@godigit.com,1800-258-5956,https://www.godigit.com,10 Years (Est. 2016),"₹999 - ₹30,000+ / year","Tech-driven modern general insurer providing paperless, instant-quote property insurance for homeowners, tenants, and commercial businesses.",Pan-India,"Digit Home Insurance, Bharat Griha Raksha, Digit Shop Insurance, SME Property Insurance, Standard Fire & Special Perils",IRDAI Reg. No. 158
Acko General Insurance Ltd.,Varun Dua (Founder & CEO),hello@acko.com,1800-266-2256,https://www.acko.com,10 Years (Est. 2016),"₹899 - ₹25,000+ / year","Direct-to-consumer digital insurer offering tailored property, apartment, and home contents insurance with zero-paperwork claim settlement.",Pan-India,"Acko Home Building & Content Cover, Bharat Griha Raksha, Rental Property Shield, Fire & Theft Cover",IRDAI Reg. No. 157
Zurich Kotak General Insurance Co. (Kotak General),Suresh Agarwal (MD & CEO),care@kotak.com,1800-266-4545,https://www.zurichkotak.com,11 Years (Est. 2015),"₹1,300 - ₹38,000+ / year","Backed by Zurich Insurance Group and Kotak Mahindra Group, providing high-standard property risk solutions for residential and industrial complexes.",Pan-India,"Kotak Home Secure, Bharat Griha Raksha, Bharat Sookshma Udyam Suraksha, Fire & Allied Perils, Industrial All Risks",IRDAI Reg. No. 152
Future Generali India Insurance Co. Ltd.,Anup Rau (MD & CEO),fgcare@futuregenerali.in,1800-220-233,https://general.futuregenerali.in,19 Years (Est. 2007),"₹1,200 - ₹35,000+ / year","Global insurance joint venture offering extensive property damage policies, home content safeguard, and SME commercial shop packages.",Pan-India,"Home Secure Policy, Bharat Griha Raksha, Bharat Laghu Udyam Suraksha, Fire & Special Perils Policy, Business Surplus Protect",IRDAI Reg. No. 132
Universal Sompo General Insurance Co. Ltd.,Sharad Mathur (MD & CEO),contactus@universalsompo.com,1800-224-030,https://www.universalsompo.com,19 Years (Est. 2007),"₹1,100 - ₹32,000+ / year","Public-private joint venture between Indian banks and Sompo Japan offering comprehensive property, residential fire, and commercial risk policies.",Pan-India,"Householders Insurance, Bharat Griha Raksha, Bharat Sookshma Udyam Suraksha, Standard Fire Policy, Commercial Asset Cover",IRDAI Reg. No. 134
Shriram General Insurance Co. Ltd.,Anil Kumar Aggarwal (MD & CEO),chserv@shriramgi.com,1800-300-30000,https://www.shriramgi.com,18 Years (Est. 2008),"₹1,000 - ₹28,000+ / year","General insurer under the Shriram Group providing accessible property, shopkeeper, and fire safety coverage across Tier 1 to Tier 4 regions in India.",Pan-India,"Shriram Home Care, Bharat Griha Raksha, Shopkeeper Package Insurance, Standard Fire & Special Perils, Business Protector",IRDAI Reg. No. 137
Liberty General Insurance Ltd.,Parag Ved (CEO),care@libertyinsurance.in,1800-266-5844,https://www.libertyinsurance.in,13 Years (Est. 2013),"₹1,300 - ₹36,000+ / year","Joint venture with Liberty Mutual Group offering tailored residential, commercial property, office package, and business interruption covers.",Pan-India,"Liberty Home Insurance, Bharat Griha Raksha, Bharat Laghu Udyam Suraksha, Commercial Property Package, Industrial All Risks",IRDAI Reg. No. 150
Magma HDI General Insurance Co. Ltd.,Rajive Kumaraswami (MD & CEO),customercare@magma-hdi.co.in,1800-266-3202,https://www.magma-hdi.co.in,14 Years (Est. 2012),"₹1,150 - ₹34,000+ / year","Joint venture between Magma Fincorp and HDI Global SE offering complete property damage, fire, burglary, and industrial enterprise insurance.",Pan-India,"Bharat Griha Raksha, Bharat Sookshma Udyam Suraksha, Standard Fire and Special Perils, Commercial Property Protector, Office Package",IRDAI Reg. No. 149
Raheja QBE General Insurance Co. Ltd.,Rajeev Dogra (MD & CEO),customercare@rahejaqbe.com,1800-102-7723,https://www.rahejaqbe.com,19 Years (Est. 2007),"₹1,500 - ₹45,000+ / year","Specialized insurer focusing on high-value property risks, commercial property liability, industrial plants, and luxury residential coverage.",Pan-India,"Bharat Griha Raksha, Bharat Laghu Udyam Suraksha, Industrial All Risks (IAR), Commercial Property Shield, Business Interruption",IRDAI Reg. No. 141
Navi General Insurance Ltd.,Sachin Bansal (Executive Chairman),insurance.care@navi.com,1800-123-0004,https://navi.com/general-insurance,9 Years (Est. 2017),"₹950 - ₹26,000+ / year",Digital financial services general insurer providing instant mobile-first home and property insurance with transparent digital claim support.,Pan-India,"Navi Home Insurance, Bharat Griha Raksha, Retail Property Shield, Fire & Allied Hazards Cover",IRDAI Reg. No. 155
Zuno General Insurance Ltd. (formerly Edelweiss General),Shanai Ghosh (MD & CEO),support@hellomano.com,1800-12000,https://www.hellomano.com,9 Years (Est. 2017),"₹1,000 - ₹28,000+ / year","Digital general insurance company offering modern, customizable property protection plans, home insurance, and SME business asset coverage.",Pan-India,"Zuno Home Shield, Bharat Griha Raksha, Bharat Sookshma Udyam Suraksha, Standard Fire Policy, SME Asset Cover",IRDAI Reg. No. 159
Kshema General Insurance Ltd.,Sunil Kumar Nandamudi (MD),info@kshema.co,1800-572-8888,https://kshema.co,3 Years (Est. 2023),"₹1,200 - ₹30,000+ / year","Modern non-life insurance company specialized in rural, agricultural property, warehouse assets, and semi-urban commercial property risks.",Pan-India,"Bharat Griha Raksha, Rural Property Protection, Warehouse & Agro-Asset Insurance, Standard Fire & Special Perils",IRDAI Reg. No. 162
Policybazaar Insurance Brokers Pvt. Ltd.,Sarbvir Singh (CEO),care@policybazaar.com,1800-208-8787,https://www.policybazaar.com,18 Years (Est. 2008),"₹800 - ₹35,000+ / year","India's largest online insurance marketplace providing comparative quotes, policy comparison, and instant issuance for residential and commercial property insurance.",Pan-India,"Bharat Griha Raksha, Home Structure & Content Insurance, Office & Shop Insurance, Commercial Fire Cover",IRDAI Reg. DB 742 / Certificate 446
Marsh India Insurance Brokers Pvt. Ltd.,Sanjay Kedia (Country Head & CEO),marsh.india@marsh.com,022-66513400,https://www.marsh.com/in,23 Years (Est. 2003),Custom Corporate / Enterprise Scale,"Global leader in insurance broking and risk management delivering sophisticated property loss prevention, catastrophic modeling, and industrial asset insurance.","Pan-India & Global (Offices in Mumbai, Delhi, Bengaluru, Chennai)","Industrial All Risk (IAR), Commercial Real Estate Portfolios, Mega Risk Property Cover, Business Interruption & Delay in Startup",IRDAI Reg. CB 084 / Composite Broker
Aon India Insurance Brokers Pvt. Ltd.,Rishi Mehra (CEO),aonindia@aon.com,022-66568200,https://www.aon.com/india,24 Years (Est. 2002),Custom Enterprise & Commercial Brokerage,"Leading professional services and insurance broking firm specializing in commercial property, real estate portfolios, supply chain resilience, and fire hazard underwriting.",Pan-India & International,"Commercial Property Damage, Industrial All Risks, Consequential Loss, Natural Catastrophe Excess Coverage",IRDAI Reg. CB 052/02
Willis Towers Watson India Insurance Brokers Pvt. Ltd.,Rohit Jain (Head of India),wtwindia@willistowerswatson.com,022-61567000,https://www.wtwco.com/en-in,23 Years (Est. 2003),Enterprise Risk Pricing,"Global advisory and broking multinational providing institutional property valuation risk analysis, manufacturing plant coverage, and real estate insurance.",Pan-India & Global,"Property All Risks, Business Interruption, Terror & Sabotage Cover, Machinery Breakdown & Real Estate Shield",IRDAI Reg. CB 086/03
Howden Insurance Brokers (India) Pvt. Ltd.,Amit Agarwal (Managing Director),contact@howdenindia.com,022-66598888,https://www.howdengroup.com/in-en,22 Years (Est. 2004),Commercial / SME / Corporate Scale,"Specialist insurance broker providing cutting-edge risk transfer solutions for real estate developers, commercial warehouses, and manufacturing assets.","Pan-India (Mumbai, Delhi, Chennai, Bengaluru, Kolkata)","Commercial Property Cover, Industrial All Risks, Loss of Profits Policy, Construction & Erection All Risks",IRDAI Reg. DB 249/04
Mahindra Insurance Brokers Ltd.,Vedanarayanan Seshadri (MD & CEO),customercare.mibl@mahindra.com,1800-266-6425,https://www.mahindrainsurance.com,23 Years (Est. 2003),"₹1,200 - ₹50,000+ / year","Subsidiary of Mahindra Group offering comprehensive direct and composite insurance broking for rural assets, urban homes, and corporate industrial complexes.",Pan-India (Over 400 branches),"Bharat Griha Raksha, Rural Asset Protect, Commercial Fire & Perils, Industrial All Risk, Warehousing Risk Shield",IRDAI Reg. CB 192/03
Aditya Birla Insurance Brokers Ltd.,Sandeep Dadia (CEO),abibl.customerservice@adityabirlacapital.com,1800-270-7000,https://www.adityabirlainsurancebrokers.com,23 Years (Est. 2003),"₹1,500 - ₹60,000+ / year","Aditya Birla Capital entity delivering risk advisory and placement for corporate real estate, commercial establishments, and individual homeowners.",Pan-India,"Home Protection Plans, Bharat Griha Raksha, Industrial All Risk, Commercial Property Package, Business Interruption",IRDAI Reg. DB 146/03
Anand Rathi Insurance Brokers Ltd.,Supriya Rathi (Whole Time Director),insurance@rathi.com,022-40013700,https://www.anandrathiinsurance.com,22 Years (Est. 2004),"₹1,400 - ₹45,000+ / year","Specialized insurance brokerage advising high-net-worth individuals, businesses, and industrial enterprises on optimal property asset insurance.",Pan-India,"Bharat Griha Raksha, High-Value Home Insurance, Commercial Complex Package, Industrial Fire & Explosion Cover",IRDAI Reg. DB 234/04
Prudent Insurance Brokers Pvt. Ltd.,Ajit Shenoy (Managing Director),contactus@prudentbrokers.com,022-68340000,https://www.prudentbrokers.com,24 Years (Est. 2002),Enterprise / Commercial Brokerage,"Leading Indian corporate broker managing sophisticated property risk portfolios for technology parks, manufacturing facilities, and real estate assets.","Pan-India (Mumbai, Bengaluru, Delhi NCR, Hyderabad, Pune, Chennai)","Industrial All Risks, Commercial Fire & Allied Perils, Advanced Loss of Profits, Real Estate Developer Asset Protection",IRDAI Reg. DB 079/02
SecureNow Insurance Broker Pvt. Ltd.,Kapil Mehta (Co-Founder),support@securenow.in,0124-4008377,https://securenow.in,15 Years (Est. 2011),"₹1,000 - ₹35,000+ / year","Tech-enabled commercial and SME insurance broker offering transparent property insurance, factory fire insurance, and office package policies.",Pan-India,"Bharat Sookshma Udyam Suraksha, Bharat Laghu Udyam Suraksha, Factory Fire Insurance, Commercial Office Shield",IRDAI Reg. DB 485/11
Turtlemint Insurance Broking Services Pvt. Ltd.,Dhirendra Mahyavanshi (Co-Founder & CEO),support@turtlemint.com,1800-266-0101,https://www.turtlemint.com,11 Years (Est. 2015),"₹900 - ₹30,000+ / year","Leading insurtech platform connecting certified advisors and clients across India for customized home, property, and SME asset coverage.","Pan-India (Present in 5,000+ pin codes)","Bharat Griha Raksha, Home Building & Content Cover, Shop & Establishment Package, Fire & Natural Hazard Insurance",IRDAI Reg. DB 463/10
Unison Insurance Broking Services Pvt. Ltd.,K.B. Vijay Srinivas (Principal Officer),info@unisoninsurance.net,079-40248888,https://unisoninsurance.net,21 Years (Est. 2005),Commercial & Enterprise Brokerage,"Premier direct and composite insurance broker headquartered in Gujarat with nationwide presence, specializing in large commercial property and industrial risks.","Pan-India (Ahmedabad, Mumbai, Delhi, Vadodara, Rajkot, Surat, Kolkata)","Industrial All Risk (IAR), Standard Fire & Special Perils, Mega Risk Property Insurance, Consequential Loss Policy",IRDAI Reg. CB 284/05
J.B. Boda Insurance Brokers Pvt. Ltd.,Gautam Boda (Chairman),jbboda@jbbodamail.com,022-66314949,https://www.jbboda.net,"72 Years (Est. 1954, Broker CoR 2002)",Institutional & Enterprise Scale,"Pioneering Indian reinsurance and direct insurance broker handling complex property, energy, catastrophic perils, and infrastructure asset protection.",Pan-India & 40+ Countries,"Industrial Property Cover, Infrastructure Asset Shield, Fire & Explosion Risk Underwriting, Machinery Loss of Profits",IRDAI Reg. CB 011/02
Landmark Insurance Brokers Pvt. Ltd. (PolicyBoss),Sushant Reddy (CEO),customercare@policyboss.com,1800-419-4040,https://www.policyboss.com,23 Years (Est. 2003),"₹1,000 - ₹35,000+ / year","Omni-channel insurance broker distributing residential property insurance, commercial establishment covers, and industrial fire packages nationwide.",Pan-India,"Bharat Griha Raksha, Home Content Guard, SME Shop Shield, Standard Fire and Special Perils",IRDAI Reg. DB 216/03
Hero Insurance Broking India Pvt. Ltd.,Sanjay Radhakrishnan (CEO),care@heroinsurance.com,1800-102-4376,https://www.heroinsurance.com,19 Years (Est. 2007),"₹1,100 - ₹32,000+ / year","Part of the Hero Group, delivering seamless digital and phygital property protection, home building covers, and commercial shop insurance.",Pan-India,"Bharat Griha Raksha, Hero Home Protect, Commercial Enterprise Property Package, Fire & Theft Shield",IRDAI Reg. DB 345/07
SMC Insurance Brokers Pvt. Ltd.,Pravin K. Agarwal (CEO),insurance@smcinsurance.com,1800-266-6080,https://www.smcinsurance.com,21 Years (Est. 2005),"₹1,200 - ₹38,000+ / year","Insurance broking wing of SMC Global Securities offering retail home insurance, warehouse covers, and corporate industrial property risk consulting.",Pan-India,"Bharat Griha Raksha, SME Property Shield, Standard Fire & Allied Perils, Office Protection Package",IRDAI Reg. DB 272/05
Coverfox Insurance Broking Pvt. Ltd.,Sanjib Jha (CEO),help@coverfox.com,1800-209-9970,https://www.coverfox.com,14 Years (Est. 2012),"₹950 - ₹30,000+ / year","Digital insurance aggregator and broker offering algorithmic property policy recommendations, fire insurance, and home structure protection.",Pan-India,"Bharat Griha Raksha, Digital Home Insurance, Shop & Godown Fire Cover, Landlord Property Insurance",IRDAI Reg. DB 505/12
Square Insurance Brokers Pvt. Ltd.,Rakesh Kumar (MD & CEO),support@squareinsurance.in,1800-258-6000,https://www.squareinsurance.in,10 Years (Est. 2016),"₹1,000 - ₹30,000+ / year","Rapidly growing insurtech broker providing property insurance, Bharat Griha Raksha, and rural asset protection across Tier 2, 3, and 4 markets.",Pan-India (Strong presence in Western & Northern India),"Bharat Griha Raksha, Rural Housing Protect, Retail Shop Fire Cover, Standard Fire & Special Perils",IRDAI Reg. DB 657/16
BimaKavach Insurance Brokers Pvt. Ltd.,Tejas Jain (Founder & CEO),support@bimakavach.com,1800-203-0026,https://www.bimakavach.com,5 Years (Est. 2021),"₹2,000 - ₹50,000+ / year (Commercial/Startup focus)","Modern business insurance broker specializing in commercial property, startup office packages, warehouse safety, and industrial asset damage.",Pan-India,"Commercial Property Shield, Startup Office Package, Bharat Laghu Udyam Suraksha, Burglary & Fire Policy",IRDAI Reg. DB 882/21
Girnar Insurance Brokers Pvt. Ltd. (InsuranceDekho),Ankit Agrawal (CEO & Co-Founder),support@insurancedekho.com,7551-196-989,https://www.insurancedekho.com,9 Years (Est. 2017),"₹900 - ₹32,000+ / year","Insurtech platform under CarDekho Group offering quick comparisons, policy issuance, and claims assistance for residential and commercial properties.",Pan-India,"Bharat Griha Raksha, Home Building & Contents, Shopkeeper Fire Insurance, Small Business Property Package",IRDAI Reg. DB 688/17
Muthoot Insurance Brokers Pvt. Ltd.,George Alexander Muthoot (Managing Director),insurance@muthootgroup.com,1800-313-1212,https://www.muthootinsurance.com,14 Years (Est. 2012),"₹1,000 - ₹28,000+ / year","Part of Muthoot Blue / Muthoot Group offering retail home insurance, gold loan collateral property covers, and MSME shop fire insurance.","Pan-India (5,000+ branches)","Bharat Griha Raksha, Muthoot Home Care, MSME Property Shield, Standard Fire and Allied Hazards",IRDAI Reg. DB 532/12
Almondz Insurance Brokers Pvt. Ltd.,Rohit Verma (CEO),info.insurance@almondz.com,011-43500700,https://www.almondzinsurance.com,23 Years (Est. 2003),Enterprise / Commercial Scale,"Financial services group broker handling corporate real estate risk assessments, commercial complex fire underwriting, and infrastructure coverage.",Pan-India,"Industrial All Risks, Standard Fire & Special Perils, Office Building Package, Consequential Loss Policy",IRDAI Reg. DB 137/03
Way2Wealth Insurance Brokers Pvt. Ltd.,M.R. Shashibhushan (Director),insurance@way2wealth.com,1800-425-3690,https://www.way2wealth.com,20 Years (Est. 2006),"₹1,200 - ₹35,000+ / year","Wealth management broking house providing property, real estate asset safeguard, and fire protection for retail and institutional clients.",Pan-India (South India dominant),"Bharat Griha Raksha, Commercial Complex Protection, Fire & Perils Insurance, Landlord Insurance Package",IRDAI Reg. DB 310/06
Beacon Insurance Brokers Pvt. Ltd.,Sanjay Agrawal (MD),beacon@beacon.co.in,0265-2353381,https://www.beacon.co.in,21 Years (Est. 2005),Commercial / SME Scale,Established insurance broker based in Vadodara offering comprehensive property and industrial plant risk management across Gujarat and Western India.,"Pan-India (Gujarat, Maharashtra, NCR, MP)","Industrial All Risk (IAR), Bharat Griha Raksha, Chemical & Petrochemical Property Cover, Standard Fire Policy",IRDAI Reg. DB 287/05
Global Insurance Brokers Pvt. Ltd.,Prabodh Thakker (Chairman),info@globalinsurance.co.in,022-66567000,https://www.globalinsurance.co.in,24 Years (Est. 2002),Enterprise / Corporate Scale,"One of India's premier composite insurance brokers delivering bespoke property loss control, real estate risk engineering, and catastrophic perils coverage.",Pan-India & International,"Property All Risks, Mega Infrastructure Asset Protection, Industrial Fire & Business Interruption, Machinery Loss of Profits",IRDAI Reg. CB 038/02
K.M. Dastur & Company Pvt. Ltd.,Burjor Dastur (CMD),kmdastur@kmdastur.com,022-22881370,https://www.kmdastur.com,"74 Years (Est. 1952, Broker CoR 2002)",Corporate & Industrial Risk Pricing,"Historic composite broker renowned for aviation, marine, and large-scale industrial property risk underwriting and international reinsurance placement.","Pan-India & International (Offices in London, Dubai, Mumbai)","Industrial All Risks, Heavy Manufacturing Property Covers, Fire & Catastrophe Risk Transfer, Delay in Startup",IRDAI Reg. CB 012/02
Ideal Insurance Brokers Pvt. Ltd.,Rahul Agarwal (Founder & CEO),info@idealinsurance.in,1800-120-8000,https://www.idealinsurance.in,18 Years (Est. 2008),"₹1,200 - ₹35,000+ / year","Kolkata-headquartered corporate insurance broker offering specialized property damage policies, factory fire covers, and retail home insurance.",Pan-India (Eastern India & National),"Bharat Griha Raksha, Bharat Laghu Udyam Suraksha, Warehouse Property Shield, Factory Fire & Perils Cover",IRDAI Reg. DB 373/08
Trinity Insurance Brokers Pvt. Ltd.,Jatin Doctor (Managing Director),contact@trinitybrokers.com,022-67891234,https://www.trinitybrokers.com,23 Years (Est. 2003),Commercial / SME Scale,"Direct broker handling commercial enterprise assets, commercial shopping complexes, residential societies, and fire safety risk management.",Pan-India,"Standard Fire and Special Perils, Bharat Griha Raksha, Commercial Complex Protection, Burglary & Housebreaking Policy",IRDAI Reg. DB 114/03
Embee Insurance Brokers Ltd.,Manish Bansal (MD),info@embeebrokers.com,0172-2708899,https://www.embeebrokers.com,23 Years (Est. 2003),"₹1,100 - ₹34,000+ / year","Chandigarh-based insurance broker catering to Northern India's industrial plants, commercial real estate assets, and residential properties.","Pan-India (Punjab, Haryana, Chandigarh, Delhi NCR)","Bharat Griha Raksha, Industrial Fire & Allied Perils, Cold Storage & Agro-Asset Cover, Commercial Building Package",IRDAI Reg. DB 139/03
Renuka Insurance Brokers Pvt. Ltd.,Chetan Modi (Director),info@renukainsurance.com,079-26851122,https://www.renukainsurance.com,23 Years (Est. 2003),"₹1,200 - ₹36,000+ / year","Ahmedabad-headquartered broker offering end-to-end commercial property, industrial estate, and home hazard insurance across Gujarat and Western India.","Pan-India (Gujarat, Maharashtra, Rajasthan)","Bharat Griha Raksha, Industrial All Risk, Chemical Unit Fire Shield, Commercial Office Package",IRDAI Reg. DB 202/03
Zopper Insurance Brokers Pvt. Ltd.,Suraj Jagtap (CEO),care@zopper.com,1800-103-7766,https://www.zopper.com,7 Years (Est. 2019),"₹800 - ₹25,000+ / year","Embedded insurtech platform and broker providing digital device, home appliance, and residential property content insurance across electronic retail chains.",Pan-India,"Home Appliance & Content Cover, Bharat Griha Raksha, Electronics Retail Shield, Tenant Content Insurance",IRDAI Reg. DB 796/19
Quickinsure Insurance Brokers Pvt. Ltd.,Bansi Patel (Director),support@quickinsure.co.in,079-66778899,https://www.quickinsure.co.in,10 Years (Est. 2016),"₹900 - ₹28,000+ / year","Digital-first insurance broking portal offering rapid comparisons, policy placement, and claims support for residential and small enterprise properties.","Pan-India (Ahmedabad, Surat, Rajkot, Mumbai)","Bharat Griha Raksha, SME Shopkeeper Insurance, Commercial Fire & Allied Hazards, Warehouse Protect",IRDAI Reg. DB 645/16
Bharat Re-Insurance Brokers Pvt. Ltd.,Rajeev Kumar (Principal Officer),contact@bharatre.com,044-28271100,https://www.bharatre.com,23 Years (Est. 2003),Reinsurance / Corporate Scale,"Chennai-based composite broker handling specialized property treaty, facultative reinsurance, and large commercial asset risk mitigation.",Pan-India & South Asia,"Industrial All Risks, Mega Project Property Placement, Catastrophic Property Loss Cover, Business Interruption",IRDAI Reg. CB 098/03
Probus Insurance Broker Pvt. Ltd.,Rakesh Goyal (Director),customercare@probusinsurance.com,1800-102-4488,https://www.probusinsurance.com,23 Years (Est. 2003),"₹1,000 - ₹32,000+ / year","Established nationwide broker providing digital and POSP-driven retail home insurance, office protection, and industrial fire covers.",Pan-India,"Bharat Griha Raksha, Home Building & Contents, Shopkeeper Package, Standard Fire & Special Perils",IRDAI Reg. DB 150/03
Reliance Insurance Broking Services,V. K. Sharma (Principal Officer),info.ribs@relianceada.com,022-30472000,https://www.relianceada.com,20 Years (Est. 2006),Corporate / Commercial Scale,"Direct insurance broker servicing high-value infrastructure assets, corporate headquarters, energy facilities, and manufacturing premises.",Pan-India,"Industrial All Risk (IAR), Commercial Asset Protection, Fire & Perils Insurance, Advance Loss of Profit",IRDAI Reg. DB 328/06
Platinum Insurance Brokers Pvt. Ltd.,Sunil V. Shah (Director),info@platinuminsure.com,022-26861234,https://www.platinuminsure.com,17 Years (Est. 2009),"₹1,200 - ₹38,000+ / year","Mumbai-based broker providing tailor-made insurance portfolios for cooperative housing societies, commercial towers, and industrial estates.","Pan-India (Maharashtra, Gujarat, Goa)","Housing Society Property Insurance, Commercial Complex Package, Bharat Griha Raksha, Fire & Special Perils",IRDAI Reg. DB 431/09
