Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Materials,Supported Brands
Sakar Granito (India) Pvt. Ltd. (SakarMarbo),Dhavalkumar Jayantilal Thakkar (Director),info@sakarmarbo.com,+91 9005 9008 99,https://www.sakarmarbo.com,28+ Years (Est. 1998),Economy to Premium (₹45 - ₹220/sq.ft),"Longstanding tile manufacturing brand supplying nano soluble salt tiles, double charge porcelain, digital glazed vitrified tiles, and heavy-duty parking solutions.","Ahmedabad, Morbi, Gandhinagar, Pan-India, Global Exports (25+ countries)","Soluble Salt Nano Tiles, Double Charge Vitrified, Digital Glazed Vitrified, Full Body Porcelain, Parking Tiles","SakarMarbo, Sakar Granito"
Coral Granito Pvt. Ltd.,Mansukhbhai Patel (Director),info@coralgranito.com,+91 99090 20014,https://www.coralgranito.com,19+ Years (Est. 2007),Mid-range to Premium (₹55 - ₹210/sq.ft),"Established vitrified tile producer offering multi-charge porcelain, high-gloss glazed vitrified tiles, and outdoor paving surfaces for residential and commercial builds.","Morbi, Rajkot, Gujarat, Pan-India, Export Markets","Glazed Vitrified Tiles, Multi Charge Vitrified, Rustic Matt Porcelain, High Gloss Marble Finish Tiles","Coral Granito, In-house collections"
Bluezone Vitrified Pvt. Ltd.,Manojbhai Patel (Managing Director),sales@bluezonevitrified.com,+91 99787 29887,https://www.bluezonevitrified.com,11+ Years (Est. 2015),Economy to Premium (₹50 - ₹230/sq.ft),"Modern tile manufacturer and exporter delivering polished glazed vitrified tiles, matt finish floor tiles, and digital ceramic wall solutions.","Morbi, Gujarat, Pan-India, Global Exports (45+ countries)","Polished Glazed Vitrified Tiles (PGVT), Glazed Vitrified Tiles (GVT), Double Charge Tiles, Ceramic Wall Tiles","Bluezone Vitrified, Bluezone Tiles"
Lexus Granito (India) Ltd.,Anilkumar Babulal Detroja (Chairman & Managing Director),info@lexustile.com,+91 2822 244 445,https://www.lexusgranito.com,18+ Years (Est. 2008),Economy to Premium (₹48 - ₹200/sq.ft),"Publicly listed enterprise manufacturing digital ceramic wall tiles, vitrified flooring tiles, and exterior elevation surfaces for domestic and international markets.","Morbi, Gujarat, Pan-India, Global Exports (20+ countries)","Wall Tiles, Vitrified Floor Tiles, Glazed Porcelain Tiles, Elevation Ceramic Tiles","Lexus, Lexus Granito"
Skytouch Ceramic Pvt. Ltd.,Hareshkumar Dayalal Kagthara (Director),info@skytouchceramic.com,+91 97251 20510,https://www.skytouchceramic.com,13+ Years (Est. 2013),Economy to Premium (₹45 - ₹220/sq.ft),"Dynamic tile manufacturing company producing porcelain floor tiles, digital wall tiles, heavy-duty industrial tiles, and large format slab tiles.","Morbi, Rajkot, Gujarat, Pan-India, Global Exports (30+ countries)","Porcelain Floor Tiles, Ceramic Wall Tiles, Slab Tiles, Heavy Duty Industrial Tiles, Full Body Tiles","Skytouch Ceramic, In-house collections"
Novac Ceramic LLP,Jignaben Niravkumar Bhatt (Partner),info@novacceramic.com,+91 97251 20510,https://www.novacceramic.com,13+ Years (Export presence since 2013,LLP Est. 2022),Economy to Premium (₹50 - ₹210/sq.ft),"Export-focused manufacturer producing full body porcelain tiles (600x1200mm), ceramic glazed wall tiles, wooden plank tiles, and sanitaryware fixtures.","Morbi, Gujarat, Pan-India, Global Exports (28+ countries)","Full Body Porcelain Tiles, Glazed Wall Tiles, Wooden Finish Planks, Sanitaryware, Vitrified Tiles ,Novac Ceramic, Novac Bathware"
Cera Sanitaryware Ltd. (Cera Tiles),Vikram Somany (Chairman & Managing Director),kadi@cera-india.com,+91 79 2656 1003,https://www.cera-india.com,28+ Years (Est. 1998),Premium to Luxury (₹70 - ₹380/sq.ft),"Major Indian building materials brand providing premium vitrified floor tiles, 3D digital wall tiles, large porcelain slabs (1200x1200mm), and luxury sanitaryware.","Ahmedabad, Kadi, Mehsana, Pan-India, Global Exports","Glazed Vitrified Tiles, Porcelain Floor Tiles, High Gloss Polish Slabs, Digital Wall Tiles, Sanitaryware","CERA Tiles, CERA Style Studio, CERA Care"
Accord Vitrified Pvt. Ltd. (Accord Ceramics),Amitbhai Narbherambhai Patel (Director),info@accordvitrified.com,+91 97264 20202,https://www.accordceramics.com,9+ Years (Est. 2017),Economy to Premium (₹50 - ₹240/sq.ft),"Modern porcelain manufacturer specializing in large-format ARK slabs, carving finish porcelain, and high-gloss marble vitrified surfaces.","Morbi, Gujarat, Pan-India, Global Exports","Vitrified Tiles, ARK Porcelain Slabs, GVT & PGVT, Carving Surface Tiles, Marble Finish Slabs","Accord Ceramics, ARK Slab, ARLO"
Sonex Vitrified LLP (Sonex Tiles),Mansukhbhai Patel (Designated Partner),export@sonextiles.com,+91 90731 23456,https://www.sonextiles.com,40+ Years Group Experience / 16+ Years (Est. 2010),Economy to Premium (₹50 - ₹220/sq.ft),"Pioneering Morbi tile plant producing 600x1200mm vitrified tiles, carving endless pattern tiles, and glossy porcelain flooring for luxury interiors.","Morbi, Gujarat, Pan-India, Global Exports (30+ countries)","60x120cm Vitrified Tiles, GVT/PGVT Tiles, Carving Endless Finish, High Gloss Porcelain","Sonex Tiles, Sonex Vitrified"
Sanford Vitrified Pvt. Ltd.,Jignesh Patel (Director),marketing@sanfordvitrified.com,+91 99099 08710,https://www.sanfordvitrified.com,16+ Years (Est. 2010),Mid-range to Premium (₹52 - ₹230/sq.ft),"ISO 9001:2008 certified tile manufacturer specializing in glazed vitrified tiles (600x1200mm), carving finish surfaces, and high-gloss porcelain tiles.","Morbi, Rajkot, Gujarat, Pan-India, Global Exports (25+ countries)","Glazed Vitrified Tiles (GVT), Carving Finish Tiles, Polished Porcelain, Full Body Surfaces","Sanford Vitrified, Sanford Ceramic"
Rollence Granito Pvt. Ltd.,Bharatbhai Patel (Managing Director),info@rollence.in,+91 99780 55556,https://www.rollence.in,12+ Years (Est. 2014),Economy to Premium (₹45 - ₹210/sq.ft),"Renowned producer and exporter of Nano vitrified tiles, Statuario marble porcelain slabs, and easy-maintenance polished ceramic flooring.","Morbi, Wankaner, Gujarat, Pan-India, Global Exports (40+ countries)","Nano Vitrified Tiles, Statuario Marble Tiles, Glazed Porcelain, Polished Floor Tiles","Rollence Granito, In-house collections"
Millennium Tiles LLP,Hasmukh Patel (Partner),support@millenniumtiles.in,+91 98252 35702,https://www.millenniumtiles.com,18+ Years (Est. 2008),Economy to Premium (₹48 - ₹220/sq.ft),"High-volume tile manufacturing unit producing 600x1200mm glazed vitrified tiles, porcelain floor tiles, slab tiles, and robust parking tiles.","Morbi, Rajkot, Gujarat, Pan-India, Global Exports","Glazed Vitrified Tiles (GVT/PGVT), Porcelain Tiles, Large Format Slabs, Heavy Duty Parking Tiles","Millennium Tiles, Decolite Series"
Face Impex Pvt. Ltd. (Fea Ceramics),Dilip Patel (Director),dilip@faceimpex.com,+91 99798 44493,https://feaceramics.com,15+ Years (Est. 2011),Economy to Premium (₹50 - ₹210/sq.ft),"Prominent surface exporter and manufacturer supplying ceramic wall tiles, glazed porcelain floor tiles, artificial stone surfaces, and sanitaryware.","Morbi, Gujarat, Pan-India, Global Exports (50+ countries)","Ceramic Wall Tiles, Porcelain Floor Tiles, Glazed Vitrified, Artificial Stone, Sanitaryware","Fea Ceramics, Face Impex"
Kripton Granito Pvt. Ltd.,Bhaveshbhai Bavarva (Director),info@kriptongranito.com,+91 99788 22220,https://www.kriptongranito.com,10+ Years (Est. 2016),Mid-range to Premium (₹55 - ₹230/sq.ft),"Manufacturer of premium GVT/PGVT vitrified tiles, high-gloss architectural floor surfaces, and artificial stone finishes for residential and commercial projects.","Morbi, Gujarat, Pan-India, Global Exports (30+ countries)","Glazed Vitrified Tiles (GVT/PGVT), Polished Porcelain Tiles, Artificial Stone Surfaces, Matt Finish Tiles","Kripton Granito, In-house collections"
Siyaram Vitrified Pvt. Ltd.,Jayesh Thakarshibhai Varsda (Director),siyaramvitrified@gmail.com,+91 98252 22000,https://www.siyaramvitrified.com,15+ Years (Est. 2011),Economy to Mid-range (₹45 - ₹190/sq.ft),"High-capacity manufacturer of multi-charge vitrified tiles, polished porcelain tiles, and soluble salt floor tiles for residential and commercial flooring.","Morbi, Gujarat, Pan-India, International Export","Multi Charge Vitrified Tiles, Soluble Salt Tiles, Polished Porcelain, GVT Floor Tiles","Siyaram Vitrified, Siyaram Granito"
Classic Marble Company (CMC - Mumbai HQ),Amit Shah (Managing Director),info@classicmarble.com,+91 22 4140 4140,https://www.classicmarble.com,32+ Years (Est. 1994),Premium to Luxury (₹350 - ₹2,500/sq.ft),"India's pioneer in imported marble and architectural surfaces, operating expansive design galleries in Mumbai and advanced stone processing units.","Mumbai, MMR, Pune, Maharashtra, Pan-India","Italian Marble, Exotic Onyx, Travertine, Engineered Composite Marble, Quartz Surfaces, Porcelain Slabs ,KalingaStone, 9th Avenue, Quadra Slabs, CMC Signature Collection"
Nitco Limited (Mumbai Corporate Office),Vivek Talwar (Chairman & Managing Director),marketing@nitco.in,+91 22 2577 2800,https://www.nitco.in,70+ Years (Est. 1953),Mid-Range to Premium (₹75 - ₹650/sq.ft),"Major surface finishing conglomerate manufacturing premium glazed vitrified tiles, ceramic wall & floor tiles, imported marble, and handcrafted mosaico art.","Mumbai, Thane, Pune, Maharashtra, Pan-India","Glazed Vitrified Tiles (GVT/PGVT), Ceramic Tiles, Italian Marble Slabs, Handcrafted Mosaico, Terrazzo","NITCO Tiles, NITCO Marble, NITCO Mosaico, NITCO Wall Art"
Bharat Floorings & Tiles (Mumbai) Pvt. Ltd.,Dilnavaz Variava (Chairperson) & Firdaus Variava (Vice Chairman),info@bharatfloorings.com,+91 22 4057 6666,https://www.bharatfloorings.com,100+ Years (Est. 1922),Premium to Luxury (₹180 - ₹850/sq.ft),"Heritage bespoke tile manufacturer famous for handcrafted cement tiles, encaustic patterns, cast-in-situ terrazzo, and designer restoration surfaces.","Mumbai, Pune, Goa, Delhi NCR, Pan-India","Handcrafted Cement Tiles, Heritage Encaustic Tiles, Cast-in-Situ Terrazzo, Terrazzo Tiles, Concrete Pavers","Bharat Heritage, BFT Designer Studio, Terra Natura, In-house Handcrafted"
Elegant Marbles & Grani Industries Ltd.,Rajesh Agrawal (Managing Director) & Rakesh Agrawal (Director),elegantmarbles@gmail.com,+91 22 2496 0771,https://www.elegantmarbles.com,40+ Years (Est. 1984),Luxury to Ultra-Luxury (₹400 - ₹3,000/sq.ft),"Boutique luxury stone purveyor in Mumbai curating hand-selected Italian statuario marble, Brazilian quartzites, and semi-precious translucent onyx slabs.","Mumbai, MMR, Pune, Maharashtra, Pan-India","Statuario White Marble, Botticino, Brazilian Quartzite, Onyx Slabs, Travertine, Luxury Granite , Elegant Luxury Collections, In-house Imported Slabs"
Millenium Marbles Pvt. Ltd.,Rajendra Agarwal (Director) & Ayush Agarwal (Director),info@milleniummarbles.com,+91 80882 18821,https://www.milleniummarbles.com,27+ Years (Est. 1999),Premium to Luxury (₹300 - ₹1,800/sq.ft),"Prominent importer and processor of architectural marble, quartzites, and engineered surfaces with automated stone processing facilities and luxury Mumbai galleries.","Mumbai, MMR, Silvassa, Maharashtra, Pan-India","Italian Marble, Turkish Beige, Greek White, Travertine, Quartzite Slabs ,Millenium Vista Collection, In-house Processed Stones"
Prism Johnson Limited (H & R Johnson West),Vijay Aggarwal (Managing Director) & Sarat Chandak (CEO - Tiles),tiles.customercare@prismjohnson.in,+91 22 4064 7300,https://www.hrjohnsonindia.com,68+ Years (Est. 1958),Economy to Luxury (₹50 - ₹500/sq.ft),"One of India's largest ceramic and vitrified surface manufacturers offering residential floor tiles, germ-free wall cladding, and heavy-duty industrial floorings.","Thane, Mumbai, Pune, Nagpur, Pan-India","Vitrified Floor Tiles, Glazed Porcelain Tiles, Ceramic Wall Cladding, Engineered Quartz, Anti-microbial Tiles","Johnson Tiles, Johnson Marbonite, Johnson Porselano, Johnson Endura"
Ceratec Surfaces (Pune Experience Center),Satish Agrawal (Founder & Managing Director),sales@ceratectiles.com,+91 88568 66614,https://www.ceratectiles.com,22+ Years (Est. 2004),Mid-Range to Luxury (₹80 - ₹750/sq.ft),"Premier surface and tile studio in Pune providing large-format PGVT vitrified slabs, digital ceramic wall solutions, and luxury architectural bathware.","Pune, PCMC, Western Maharashtra, MMR","PGVT Vitrified Tiles, GVT Slabs, High-Gloss Ceramics, Digital Wall Tiles, Mosaic Tiles","Ceratec Group Exclusive, Grohe, Carysil, Modern International"
R K Marble Pvt. Ltd. (Kishangarh),Patiram Chaudhary (Chairman) & Vikas Patni (Managing Director),info@rkmarble.com,+91 1463 260101,https://www.rkmarble.com,37+ Years (Est. 1989),Mid-Range to Luxury (₹150 - ₹2,000/sq.ft),"Global leader in marble extraction and processing, operating massive stockyards in Kishangarh alongside quarries in Makrana and Vietnam.","Kishangarh, Jaipur, Udaipur, Rajasthan, Pan-India","Makrana Calcite Marble, Flawless White, Vietnam White, Statuario, Imported Italian Marble, Granite , RK Marble, Flawless White, Experience One Collections"
Bhandari Marble Group (Kishangarh),D. C. Bhandari (Chairman & CEO) & Rahul Bhandari (Director),bhandarimarblegroup@gmail.com,+91 96729 41111,https://www.bhandarimarblegroup.com,55+ Years (Est. 1969),Mid-Range to Ultra-Luxury (₹120 - ₹3,500/sq.ft),"Pioneering exporter and supplier of Italian marble, Makrana marble, semi-precious translucent stone, and custom architectural elevation stone.","Kishangarh, Jaipur, Jodhpur, Rajasthan, Pan-India & Global","Italian Statuario, Calacatta Gold, Makrana White, Travertine, Translucent Onyx, Quartzite , The Infinity Marble, Bhandari Marble World, In-house Quarry Direct"
A-Class Marble India Pvt. Ltd. (Kishangarh Plant),Ramesh Bhandari (Director) & Rajesh Bhandari (Director),info@aclassmarble.co.in,+91 1463 250590,https://www.aclassmarble.co.in,21+ Years (Est. 2005),Premium to Ultra-Luxury (₹350 - ₹2,800/sq.ft),Luxury surface brand featuring Stone Reinforcement Technology (SRT) and offering hand-picked Italian marble slabs and large-format porcelain surfaces.,"Kishangarh, Jaipur, Delhi NCR, Mumbai, Ahmedabad, Pan-India","Italian Marble, French & Greek White Marble, Onyx, Travertine, 1st Class Porcelain Slabs , A-Class Luxury, T-Rex Porcelain Slabs, Fiandre International"
Stone Hub India (Kishangarh),Mukesh Agarwal (Managing Director & Founder),info@stonehubindia.com,+91 91161 33209,https://www.stonehubindia.com,16+ Years (Est. 2010),Premium to Luxury (₹250 - ₹1,800/sq.ft),"Premier Italian marble and exotic natural stone importer in Kishangarh, specializing in book-matched slabs, travertine, and quartzites for upscale spaces.","Kishangarh, Jaipur, Udaipur, Central India, Pan-India","Italian Marble, Michael Angelo, Grey Williams, Statuario, Onyx Slabs, Travertine , Stone Hub Signature, Lontano Collections, In-house"
Bhutra Marble & Granites (Kishangarh),Prateek Maheshwari (Director) & Narendra Bhutra (Founder),info@bhutrastones.com,+91 90011 56068,https://www.bhutrastones.com,19+ Years (Est. 2007),Mid-Range to Luxury (₹100 - ₹1,400/sq.ft),"High-volume supplier and distributor of Italian marble, imported quartzite, and Indian granite with massive display stockyards along Makrana Road.","Kishangarh, Ajmer, Jaipur, Jodhpur, Pan-India","Italian Marble, Quartzite Slabs, Makrana Dungri Marble, South Indian Granite, Onyx , Bhutra Signature Collection, In-house Natural Stones`"
Evershine Marbles & Exporters Pvt. Ltd.,Mukesh Chandra Agarwal (Managing Director) & Ankit Agarwal (Director),evershinemarbles@ymail.com,+91 1463 250122,https://www.evershinemarbles.in,40+ Years (Est. 1986),Mid-Range to Premium (₹90 - ₹1,200/sq.ft),"Prominent marble and natural stone processing house supplying calibrated slabs, cut-to-size stones, and commercial granite across domestic and international markets.","Kishangarh, Rajasthan, Gujarat, Maharashtra, Pan-India & Global","Imported Italian Marble, Premium Beige Marble, Indian Granite, Sandstone Slabs, Evershine Collections, In-house Processed Stones"
Stonex India Pvt. Ltd. (Kishangarh Plant),Gaurav Aggarwal (Chairman & Managing Director) & Saurav Agrawal (Director),info@stonexindia.com,+91 11 4114 4114,https://www.stonexindia.net,19+ Years (Est. 2007),Luxury to Ultra-Luxury (₹450 - ₹3,500/sq.ft),Luxury natural surface brand equipped with a robotic stone processing facility in Kishangarh and flagship experiential design galleries in Mumbai and Delhi.,"Kishangarh, Mumbai, Pune, Delhi NCR, Jaipur, Pan-India","Rare Italian Marble, Exotic Brazilian Quartzite, Semi-Precious Agate, Travertine, Fine Onyx , Stonex Global, Auris Collection, In-house Rare Stones"
Shree Rishabh Marbles (Shree Rishabh Marmo Pvt. Ltd.),Kanti Lal Jain (Managing Director) & Rishabh Jain (Director),info@rishabhmarbles.com,+91 88900 50290,https://www.rishabhmarbles.com,38+ Years (Est. 1988),Economy to Premium (₹60 - ₹600/sq.ft),"Global miner and exporter of Udaipur Green Marble (Verde Guatemala), desert brown marble, and Indian granites with extensive processing plants.","Udaipur, Rajasthan, Pan-India & 80+ Export Countries","Spider Green Marble, Forest Green Marble, Fantasy Brown, Indian Granite, Sandstone Tiles","Rishabh Marbles, Verde Allure, In-house Quarry Direct"
Mumal Marbles Pvt. Ltd. (Udaipur),Sunil Singhvi (Director) & Shanti Lal Singhvi (Director),mml_cityoffice@rediffmail.com,+91 294 244 1100,https://www.mumalmarbles.com,38+ Years (Est. 1988),Mid-Range to Premium (₹70 - ₹750/sq.ft),"Udaipur-based natural stone processor and mining company supplying rainforest marble, emerald green marble, and granite slabs for large-scale flooring and cladding.","Udaipur, Rajsamand, Kishangarh, Gujarat, Pan-India","Emerald Green Marble, Rainforest Brown, Rainforest Green, Polished Granite Slabs","Mumal Natural Stone, In-house Mining"
Pacific Industries Ltd. (Pacific Granites & Quartz),J. P. Agrawal (Chairman & Founder) & Kapil Agarwal (Managing Director),pilnorth@pacificgranites.com,+91 294 244 0196,https://www.pacificindustriesltd.com,37+ Years (Est. 1989),Mid-Range to Luxury (₹120 - ₹1,200/sq.ft),"Export-oriented stone conglomerate producing high-precision granite slabs, engineered quartz surfaces, and calibrated marble tiles.","Udaipur, Rajasthan, Bangalore, Pan-India & 40+ Export Markets","Engineered Quartz Surfaces, Granite Slabs, Sandstone, Slate, Calibrated Marble Tiles, TAANJ Quartz, Pacific Granites, In-house Manufactured"
Marwar Marbles Pvt. Ltd. (Jodhpur),Zahur Hussain (Managing Director) & Aamir Nawaz (Director),aamir46.an@gmail.com,+91 1472 240501,https://www.zaubacorp.com/MARWAR-MARBLES-PRIVATE-LIMITED-U14101RJ1997PTC013147,29+ Years (Est. 1997),Economy to Premium (₹50 - ₹500/sq.ft),"Long-standing Rajasthan stone mining and processing company providing processed green marble, pink marble slabs, limestone tiles, and Jodhpur sandstone cladding.","Jodhpur, Chittorgarh, Udaipur, Jaipur, Western India","Green Marble, Jodhpur Pink & Sandstone, Marble Tiles, Polished Granite, Katni Stone","Marwar Stones, In-house Mining & Sawn Slabs"
Shree Ram Timbers and Marbles (Nagpur),Ram Avatar Agrawal (Managing Partner / Senior Business Head),shreeramtimbersmarbles@gmail.com,+91 80 4896 9012,https://www.indiamart.com/shreeramtimbersmarbles/,26+ Years (Est. 2000),Economy to Premium (₹55 - ₹550/sq.ft),"Prominent Central India surface distributor and contractor supplying natural marble slabs, South Indian polished granite, vitrified floor tiles, and terracotta exterior jali tiles.","Nagpur, Vidarbha, Amravati, Chandrapur, Central India","Black Forest Granite, Indian White Marble, Ceramic Wall Tiles, Vitrified Tiles, Terracotta Jali","Somany, Kajaria, In-house Granite & Marble, RAK Authorized"
Goyal Marbles & Granite (Indore),Sanjay Goyal (Proprietor),goyalmarblesindore@gmail.com,+91 731 257 8899,https://goyalmarblesindore.com,25+ Years (Est. 1999),Mid-Range to Premium (₹70 - ₹600/sq.ft),"Central India marble and tile dealer offering premium vitrified tiles, imported Italian marble slabs, polished granite, and custom bathroom surface finishes.","Indore, Ujjain, Dewas, Bhopal, Madhya Pradesh","Vitrified Floor Tiles, Italian Marble, South Indian Granite, Quartz Kitchen Countertops","Kajaria, Simpolo, Nitco, AGL, In-house Natural Stone"
Royal Touche Laminates & Surfaces (Indore Hub),Raj Patel (Regional Director),contact@royaltouche.com,+91 731 406 8787,https://www.royaltouche.com,46+ Years (Est. 1978),Mid-Range to Luxury (₹90 - ₹750/sq.ft),"India's premier luxury surface laminate and wall panel brand offering ultra-matt acrylic panels, synchronized wood textures, and decorative cladding.","Indore, Bhopal, Madhya Pradesh, Pan-India","High Pressure Laminates (HPL), Acrylic Surface Panels, Synchronized Veneer Laminates, Cladding Sheets","Royal Touche, Crown Decor, Royal Exteria"
Marmo Solutions Pvt. Ltd.,Sunil Agrawal (Director),info@marmosolutions.com,+91 22 2871 3300,https://marmosolutions.com,15+ Years (Est. 2011),Mid-Range to Premium (₹80 - ₹400/sq.ft),"Specialized surface finishing chemical and stone care brand offering tile adhesives, epoxy grouts, marble impregnators, and polishing compounds for high-end flooring installation.","Mumbai, Pune, Thane, Maharashtra, Pan-India","Epoxy Tile Grouts, Polymer Modified Adhesives, Marble Sealers, Stone Care Chemical Formulations","Marmo Solutions, Marmo Floor Care, In-house"
Gala Marble & Tiles Studio (Thane),Kishore Gala (Founder & Partner),sales@galamarble.in,+91 22 2533 1122,https://galamarble.in,28+ Years (Est. 1996),Economy to Premium (₹50 - ₹450/sq.ft),"Comprehensive ceramic, vitrified, and natural stone studio in Thane catering to residential renovations, builder projects, and luxury terrace tile laying.","Thane, Mulund, Dombivli, Kalyan, MMR","Ceramic Wall Tiles, Glazed Vitrified Tiles, Heavy-duty Pavers, Polished Granite Slabs","Somany, Kajaria, Simpolo, Johnson, Cera"
