Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Materials,Delivery Capability,,,
Nuvoco Vistas Corp. Limited,Jayakumar Krishnaswamy (Managing Director) / Shruta Sanghavi (Company Secretary),customercare@nuvoco.com,1800 309 4001 (Toll-Free) / +91 22 6630 6511,https://www.nuvoco.com,25+ Years (Est. 1999),"₹350 - ₹425 per 50kg bag (Retail/Wholesale) / ₹6,500 - ₹7,600 per MT (Bulk)","Nuvoco Vistas Corp. Ltd. (part of Nirma Group) is the fifth largest cement group in India and the leading building materials player in East India with an installed cement capacity of ~25 MTPA across 11 plants. It produces market-leading brands including Duraguard, Double Bull, and Concreto alongside a nationwide Ready-Mix Concrete network.","East, North, and Central India (West Bengal, Bihar, Jharkhand, Odisha, Chhattisgarh, Uttar Pradesh, Madhya Pradesh, Rajasthan, Haryana)","Duraguard Cement, Concreto, Double Bull Cement, Nirmax, Infracem, OPC 43, OPC 53, PPC, PSC, Composite Cement, Artiste Concrete, Instamix dry mortar solutions","Dedicated Tech Express mobile lab support, high-capacity automated rail sidings and bulk dispatch loaders, 24-48 hr delivery SLA, minimum order quantity 15 MT (bagged) / 25 MT (bulk tanker) / full rake for rail shipments.",,,
Prism Johnson Limited (Prism Cement),Sarat Chandak (CEO - Cement Division) / Shailesh Dholakia (Company Secretary),cement.customerservice@prismjohnson.in,+91 7672 402700 / +91 22 6675 4142 / 1800 309 4001,https://www.prismjohnson.in,30+ Years (Est. 1992),"₹340 - ₹415 per 50kg bag (Retail/Wholesale) / ₹6,400 - ₹7,400 per MT (Bulk)","Prism Johnson Limited (Cement Division) operates one of India's single largest integrated cement manufacturing facilities at Satna (M.P.) with a production capacity of ~5.6 MTPA. It is renowned for its Champion Plus and Champion Pro brands engineered for superior compressive strength, corrosion resistance, and dense concrete structures.","Central and Northern India (Madhya Pradesh, Uttar Pradesh, Bihar, Delhi NCR, Haryana, Rajasthan)","Prism Champion Cement (PPC), Prism Champion Plus, Prism Champion Pro, Prism Hi-Tech, Prism Durex, OPC 43 Grade, OPC 53 Grade, Prism RMC Ready Mixed Concrete","Captive railway sidings with direct broad-gauge rail connectivity, road bulker logistics for bulk cement supplies, robust depot distribution in Central and Northern India, 24-48 hr lead time, minimum order quantity 15 MT (road) / 1 rake (rail).",,,
HeidelbergCement India Limited (mycem),Joydeep Mukherjee (Managing Director) / Rajesh Relan (Company Secretary),anil.sharma@heidelbergcement.in,+91 124 4503700 / 0124 4503745,https://www.mycemco.com,65+ Years (Est. 1958; Heidelberg Materials acquisition 2006),"₹345 - ₹420 per 50kg bag (Retail/Wholesale) / ₹6,450 - ₹7,500 per MT (Bulk)","HeidelbergCement India Limited, a subsidiary of Germany's Heidelberg Materials Group, produces premium-grade construction cements marketed under the 'mycem' brand with an annual capacity of ~5.5 MTPA across integrated and grinding facilities in Damoh, Jhansi, and Ammasandra. It is recognized for superior clinker quality and automated manufacturing precision.","Central, Northern, and Southern India (Madhya Pradesh, Uttar Pradesh, Bihar, Haryana, Delhi, Karnataka, Maharashtra)","mycem Primo, mycem Power Cement, mycem Portland Pozzolana Cement (PPC), mycem Ordinary Portland Cement (OPC 53, OPC 43), mycem PSC (Portland Slag Cement)","Mobile Technical Lab fleet for on-site quality testing, direct rail track loading sidings at Damoh & Jhansi, dedicated road logistics network, 24-48 hr order execution timeline, minimum order quantity 10-15 MT (truckloads) / 1,000+ MT (bulk rail rakes).",,,
Star Cement Limited,Tushar Bhajanka (Managing Director & CEO) / Debabrata Thakurta (Company Secretary),lumshnong@starcement.co.in,+91 3655 278215 / 1800 120 4422 (Toll-Free),https://www.starcement.co.in,25+ Years (Est. 2001),"₹380 - ₹460 per 50kg bag (Retail/Wholesale) / ₹7,000 - ₹8,200 per MT (Bulk)","Star Cement Limited is the largest and most dominant cement manufacturer in North-East India and Eastern India with an aggregate installed production capacity of ~7.7 MTPA across Meghalaya, Assam, and West Bengal. It is widely preferred for heavy monsoon and seismic-zone construction due to its high early strength and weather-resilient formulations.","North-Eastern and Eastern India (Assam, Meghalaya, Arunachal Pradesh, Nagaland, Manipur, Mizoram, Tripura, West Bengal, Bihar)","Star Cement Premium (PPC), Star Anti-Rust Cement, Star Cement OPC 43 Grade, Star Cement OPC 53 Grade, Star Portland Slag Cement (PSC), Star Water Shield","Strategic riverine and hilly terrain transport logistics fleet, automated loading rail sidings at Guwahati and Siliguri grinding units, 24-48 hr delivery across East/NE hubs, minimum order quantity 10-15 MT (trucks) / 1,000 MT (railway rakes).",,,
Orient Cement Limited,Deepak Khetrapal (Managing Director & CEO) / Diksha Singh (Company Secretary),info@orientcement.com,+91 11 4209 2100 / +91 8736 240709,https://orientcement.com,45+ Years (Est. 1979),"₹340 - ₹415 per 50kg bag (Retail/Wholesale) / ₹6,350 - ₹7,400 per MT (Bulk)","Orient Cement Limited (part of the C.K. Birla Group / Adani Portfolio integration) operates cutting-edge manufacturing facilities at Devapur (Telangana), Chittapur (Karnataka), and Jalgaon (Maharashtra) with an installed capacity of ~8.5 MTPA. Marketed under the flagship brand Birla.A1, it delivers premium high-strength cement for residential and critical civil engineering projects.","Southern, Western, and Central India (Telangana, Andhra Pradesh, Karnataka, Maharashtra, Goa, Madhya Pradesh, Gujarat)","Birla.A1 Premium Cement, Birla.A1 StrongCrete, Birla.A1 Orient Gold, Ordinary Portland Cement (OPC 43, OPC 53), Portland Pozzolana Cement (PPC)","Advanced automated bulk loading terminals at Devapur and Chittapur, dedicated railway siding connections, bulk tanker fleet for RMC suppliers, 24-36 hr regional delivery window, minimum order quantity 15 MT (bagged road transport) / 25 MT (bulk tanker).",,,
Sagar Cements Limited,S. Anand Reddy (Managing Director) / J. Raja Reddy (Company Secretary),info@sagarcements.in,+91 40 2335 1571 / +91 40 2335 6572,https://www.sagarcements.in,40+ Years (Est. 1981),"₹330 - ₹405 per 50kg bag (Retail/Wholesale) / ₹6,200 - ₹7,200 per MT (Bulk)","Sagar Cements Limited is a fast-growing South Indian cement manufacturing group with an aggregate installed capacity of ~10.5 MTPA across integrated and grinding facilities in Telangana, Andhra Pradesh, Madhya Pradesh, and Odisha. It supplies high-quality Portland Pozzolana, Slag, and Sulphate Resistant cements across diverse industrial applications.","South, Central, and Eastern India (Telangana, Andhra Pradesh, Tamil Nadu, Karnataka, Maharashtra, Odisha, Madhya Pradesh)","Sagar Super (PPC), Sagar Ordinary Portland Cement (OPC 43, OPC 53), Sagar Portland Slag Cement (PSC), Sagar Sulphate Resistant Cement (SRC), Sagar Solid Built, Sagar Coastal King","In-house railway siding infrastructure at Mattampally plant, fleet of pneumatic bulk road carriers, multi-tier warehouse network, 24-48 hr dispatch schedule, minimum order quantity 15 MT (road freight) to full rake load (railway).",,,
The KCP Limited (Cement Division),Dr. V. L. Indira Dutt (Chairperson & MD) / Y. Vijayakumar (Company Secretary),cement@kcp.co.in,+91 44 6677 2600 / +91 8642 222303,http://www.kcp.co.in,65+ Years (Est. 1958; KCP Group Est. 1941),"₹340 - ₹410 per 50kg bag (Retail/Wholesale) / ₹6,300 - ₹7,300 per MT (Bulk)","The KCP Limited Cement Division operates premier manufacturing plants at Macherla and Muktyala in Andhra Pradesh with an installed production capacity of ~4.3 MTPA. As a pioneer in the South Indian cement sector, KCP supplies high-strength durable cement for major dams, power projects, highways, and commercial high-rises.","Southern and Eastern India (Andhra Pradesh, Telangana, Tamil Nadu, Karnataka, Odisha, Kerala)","KCP Shresht (PPC), KCP Ordinary Portland Cement (OPC 53, OPC 43), KCP Special Grade Cement for High-Rise Structures, Portland Slag Cement (PSC), Low Heat Portland Cement","Direct railway siding at Muktyala facility with mechanised wagon loaders, fleet of heavy-duty road trucks and bulkers, 24-48 hr lead time across Andhra/Telangana/Tamil Nadu, minimum order quantity 10-15 MT (truckloads) / 1,200 MT (railway rakes).",,,
Mangalam Cement Limited,Vidula Jalan (Co-Chairperson) / Manoj Kumar (Company Secretary),email@mangalamcement.com,+91 93514 68076 / +91 33 2243 8706,https://www.mangalamcement.com,45+ Years (Est. 1978),"₹330 - ₹400 per 50kg bag (Retail/Wholesale) / ₹6,200 - ₹7,100 per MT (Bulk)","Mangalam Cement Limited, established under the B.K. Birla Group, operates integrated manufacturing facilities at Morak, Kota (Rajasthan) and a grinding unit at Aligarh (UP) with a combined capacity of ~4.4 MTPA. Marketed under the brand 'Birla Uttam', it provides high-durability Portland Pozzolana and Ordinary Portland cements for housing and infrastructure.","North and Central India (Rajasthan, Uttar Pradesh, Madhya Pradesh, Delhi NCR, Haryana)","Birla Uttam Cement (PPC, OPC 43, OPC 53), Mangalam ProMaxX, Mangalam Premium, Birla Uttam Power, Masonry Cement","Dedicated broad-gauge railway siding with automated rake loading at Morak plant, extensive regional dealer/depot network in North India, 24-48 hr delivery turnaround, minimum order quantity 15 MT (road transport) / 1,200 MT (rail transport).",,,
Deccan Cements Limited,P. Parvathi (Managing Director) / S. K. Mishra (Company Secretary),info@deccancements.com,+91 40 2331 0168 / +91 40 2331 0552,https://www.deccancements.com,45+ Years (Est. 1979),"₹330 - ₹405 per 50kg bag (Retail/Wholesale) / ₹6,200 - ₹7,200 per MT (Bulk)","Deccan Cements Limited (DCL) is a leading South Indian cement producer operating a modern manufacturing complex at Bhavanipuram, Nalgonda (Telangana) with an installed capacity of ~2.25 MTPA (expanding to 4+ MTPA). It manufactures high-grade OPC, blended cements, and specialty cements tailored for precast, high-stress bridges, and marine construction.","Southern India (Telangana, Andhra Pradesh, Tamil Nadu, Karnataka, Kerala, Odisha, Maharashtra)","Deccan OPC 53, Deccan OPC 43, Deccan Portland Pozzolana Cement (PPC), Deccan Portland Slag Cement (PSC), Deccan Speciality High-Early Strength Cement, Sulphate Resisting Portland Cement (SRPC)","Captive railway siding with direct connectivity to South Central Railway network, automated multi-spout bag packers and bulk bulker loading bay, 24-36 hr regional delivery window, minimum order quantity 10 MT (road trucks) / 1,000 MT (rake lots).",,,
Andhra Cements Limited,S. Anand Reddy (Director) / G. Tirupati Rao (Company Secretary),info@andhracements.com,+91 40 2335 1571 / +91 8649 257413,https://www.andhracements.com,90+ Years (Est. 1936; Subsidiary of Sagar Cements Group),"₹325 - ₹395 per 50kg bag (Retail/Wholesale) / ₹6,100 - ₹7,000 per MT (Bulk)","Andhra Cements Limited, one of India's earliest cement enterprises (now a subsidiary of Sagar Cements Group), operates integrated manufacturing units at Dachepalle (Guntur) and grinding units at Visakhapatnam with an aggregate capacity of ~2.6 MTPA. It manufactures durable Portland Pozzolana and OPC grades for coastal and commercial construction.","Southern and Eastern India (Andhra Pradesh, Telangana, Odisha, Tamil Nadu, Karnataka)","Durga Cement (PPC), Andhra Cements OPC 43 Grade, Andhra Cements OPC 53 Grade, Portland Slag Cement (PSC), Coastal Grade Blended Cement","Proximity to major railway corridors and Visakhapatnam port, road bulker logistics fleet for regional infrastructure projects, 24-48 hr lead time across coastal Andhra and Rayalaseema, minimum order quantity 15 MT (road freight) / 1,200 MT (railway rakes).",,,
Sanghi Industries Limited,Sukuru Ramarao (Whole-time Director & CEO) / Manish Mistry (Company Secretary),companysecretary.sil@adani.com,+91 79 2656 5555 / 1800 233 1222 (Toll-Free),https://www.sanghicement.com,40+ Years (Est. 1985; Adani Ambuja Group Subsidiary),"₹340 - ₹415 per 50kg bag (Retail/Wholesale) / ₹6,300 - ₹7,300 per MT (Bulk)","Sanghi Industries Limited (an Adani Group company) operates the Sanghipuram plant in Kutch (Gujarat), one of the world's largest single-location integrated cement manufacturing facilities with 6.1 MTPA capacity. The complex features a captive all-weather port, private desalination plant, and 143 MW thermal power plant, delivering low-carbon cement across Western and Southern coasts.","Western and Southern Coastal India (Gujarat, Maharashtra, Rajasthan, Goa, Kerala, Karnataka)","Sanghi Power Cement (PPC), Sanghi OPC 53 Grade, Sanghi OPC 43 Grade, Sanghi PSC (Portland Slag Cement), Ready Mix Concrete, Coastal Durable Marine Cement","Dedicated captive deep-sea all-weather port at Sanghipuram for sea-route coastal bulk shipping, mechanized road bulker fleet, 24-48 hr delivery SLA across Gujarat and West Coast, minimum order quantity 15 MT (road transport) / 2,000 MT (marine vessel / rail rake).",,,
Saurashtra Cement Limited (Hathi Cement),M. S. Gilotra (Managing Director) / Sonali Sanas (VP - Legal & Company Secretary),customercare@mehtagroup.com,+91 2801 304200 / +91 79 2658 3858 / +91 22 6636 5444,https://www.hathi-sidheecements.com,65+ Years (Est. 1956),"₹335 - ₹410 per 50kg bag (Retail/Wholesale) / ₹6,250 - ₹7,200 per MT (Bulk)","Saurashtra Cement Limited, the flagship cement arm of the Mehta Group, manufactures the iconic 'Hathi Cement' brand at its integrated plant in Ranavav (near Porbandar, Gujarat) with an annual capacity of ~1.5 MTPA (consolidated ~3 MTPA with group entity Gujarat Sidhee Cement). Hathi Cement is celebrated across Gujarat and Maharashtra for exceptional marine and sulphate resistance.","Western India (Gujarat, Maharashtra, Rajasthan, Madhya Pradesh)","Hathi Portland Pozzolana Cement (Hathi PPC), Hathi Ordinary Portland Cement (OPC 53, OPC 43), Hathi PSC, Marine Grade Sulfate Resisting Cement","Direct rail siding at Ranavav connected to Western Railway, coastal sea transport via Porbandar Port, dedicated fleet of bulk road tankers, 24-48 hr lead time across Gujarat/Maharashtra, minimum order quantity 15 MT (road trucks) / 1,500 MT (rail wagons).",,,
Anjani Portland Cement Limited,K. V. Vishnu Raju (Director) / Subhash Ranjan (Company Secretary),info@anjanicement.com,+91 40 2335 3096 / +91 8683 230166,https://www.anjanicement.com,40+ Years (Est. 1983; Subsidiary of Chettinad Cement Group),"₹330 - ₹400 per 50kg bag (Retail/Wholesale) / ₹6,200 - ₹7,100 per MT (Bulk)","Anjani Portland Cement Limited (a Chettinad Cement Group entity) operates automated manufacturing plants at Chintalapalem, Suryapet (Telangana) with an installed capacity of ~2 MTPA. It specializes in high-compressive-strength Portland Pozzolana and Ordinary Portland cements for commercial builders and irrigation infrastructure across South India.","Southern India (Telangana, Andhra Pradesh, Karnataka, Tamil Nadu, Odisha, Maharashtra)","Anjani Super Gold (PPC), Anjani Premium OPC 53 Grade, Anjani OPC 43 Grade, Composite Cement, Coastal Durable Cement","Dedicated transport fleet, proximity to NH-65 corridor, computerized bag loading terminals, 24-36 hr regional delivery turnaround, minimum order quantity 10-15 MT (truckloads).",,,
Shiva Cement Limited,Manoj Kumar Rustagi (Managing Director) / Sneha Bindra (Company Secretary),corporate@shivacement.com,+91 661 2464064 / +91 11 4656 5656,https://www.shivacement.com,40+ Years (Est. 1983; JSW Cement Subsidiary),"₹330 - ₹405 per 50kg bag (Retail/Wholesale) / ₹6,150 - ₹7,150 per MT (Bulk)","Shiva Cement Limited (a subsidiary of JSW Cement) operates an integrated clinker and cement facility at Telighana, Sundargarh (Odisha) with a 1.36 MTPA clinker and 1 MTPA grinding capacity. It serves as JSW Cement's strategic Eastern hub, producing eco-friendly Portland Slag Cement (PSC) and Composite Cements for industrial and civil works.","Eastern and Central India (Odisha, West Bengal, Jharkhand, Bihar, Chhattisgarh)","Shiva PSC (Portland Slag Cement), Shiva PPC, Ordinary Portland Cement (OPC 43, OPC 53), Green ConCretum Blended Cement","Proximity to South Eastern Railway trunk lines, road fleet logistics network across Eastern industrial corridors, 24-48 hr delivery window, minimum order quantity 15 MT (road freight) / 1,200 MT (railway rakes).",,,
Burnpur Cement Limited,Pawan Pareek (Executive Director) / Rajesh Sharma (Company Secretary),info@burnpurcement.com,+91 341 2250859 / +91 33 2265 3167,https://www.burnpurcement.com,35+ Years (Est. 1986),"₹320 - ₹395 per 50kg bag (Retail/Wholesale) / ₹6,000 - ₹7,000 per MT (Bulk)","Burnpur Cement Limited operates integrated and grinding cement plants at Asansol (West Bengal) and Patratu (Jharkhand) with a combined capacity of ~0.6 MTPA. It caters to regional real estate, housing developers, and small-to-medium civil contractors with reliable Portland Slag Cement and Portland Pozzolana Cement.","Eastern India (West Bengal, Jharkhand, Bihar, Assam)","Burnpur Super Portland Slag Cement (PSC), Burnpur Portland Pozzolana Cement (PPC), Ordinary Portland Cement (OPC 43)",Direct factory dispatch via road carriers,local depot network in Asansol and Ranchi,24-48 hr regional fulfillment,minimum order quantity 10-15 MT.
